"GO Results for Cellular Component, Hour 10, 7.5 vs 8.0"

"name	term	lev	seq	value"
"basolateral plasma membrane	GO:0016323	2	TRINITY_DN39879_c0_g1	-0.219144691777375"
"basolateral plasma membrane	GO:0016323	2	TRINITY_DN30614_c0_g1	-2.0682038155756"
"basolateral plasma membrane	GO:0016323	2	TRINITY_DN37635_c0_g1	-0.228116539698518"
"basolateral plasma membrane	GO:0016323	2	TRINITY_DN29392_c0_g1	-1.53782070394188"
"basolateral plasma membrane	GO:0016323	2	TRINITY_DN36151_c0_g1	0.102274184503029"
"basolateral plasma membrane	GO:0016323	2	TRINITY_DN27859_c0_g1	0.0395796898594853"
"basolateral plasma membrane	GO:0016323	2	TRINITY_DN27115_c0_g1	0.0072151119430699"
"basolateral plasma membrane	GO:0016323	2	TRINITY_DN2415_c0_g1	0.559712077793822"
"basolateral plasma membrane	GO:0016323	2	TRINITY_DN15142_c0_g1	-0.52636652694749"
"basolateral plasma membrane	GO:0016323	2	TRINITY_DN27431_c0_g1	0.130666522777043"
"basolateral plasma membrane	GO:0016323	2	TRINITY_DN10469_c0_g1	-0.128106191704371"
"basolateral plasma membrane	GO:0016323	2	TRINITY_DN1688_c0_g1	-1.09960299613183"
"basolateral plasma membrane	GO:0016323	2	TRINITY_DN38761_c0_g1	-0.0616086838913298"
"U2-type spliceosomal complex	GO:0005684	3	TRINITY_DN13423_c0_g1	-0.962483660177866"
"U2-type spliceosomal complex	GO:0005684	3	TRINITY_DN1392_c0_g1	0.340518683221894"
"U2-type spliceosomal complex	GO:0005684	3	TRINITY_DN11995_c0_g1	0.197296262311704"
"U2-type spliceosomal complex	GO:0005684	3	TRINITY_DN34299_c0_g1	-0.0958940428309983"
"U2-type spliceosomal complex	GO:0005684	3	TRINITY_DN38298_c0_g1	-2.18692626113758"
"U2-type spliceosomal complex	GO:0005684	3	TRINITY_DN8907_c0_g1	-0.120625442708617"
"U2-type spliceosomal complex	GO:0005684	3	TRINITY_DN37065_c0_g1	-0.0178924532976606"
"U2-type spliceosomal complex	GO:0005684	3	TRINITY_DN29401_c0_g1	-0.525365770833788"
"U2-type spliceosomal complex	GO:0005684	3	TRINITY_DN34658_c0_g1	0.340581581415794"
"U2-type spliceosomal complex	GO:0005684	3	TRINITY_DN29460_c0_g1	-1.26019374691113"
"U2-type spliceosomal complex	GO:0005684	3	TRINITY_DN36150_c0_g1	-0.0660866281589516"
"U2-type spliceosomal complex	GO:0005684	3	TRINITY_DN32163_c0_g1	1.06175076528203"
"U2-type spliceosomal complex	GO:0005684	3	TRINITY_DN32142_c0_g1	0.0253323416308649"
"U2-type spliceosomal complex	GO:0005684	3	TRINITY_DN3290_c0_g1	-0.298932150017915"
"U2-type spliceosomal complex	GO:0005684	3	TRINITY_DN30630_c0_g1	-1.74223569762511"
"U2-type spliceosomal complex	GO:0005684	3	TRINITY_DN37017_c0_g1	0.754719480527935"
"muscle myosin complex	GO:0005859;GO:0036379	4	TRINITY_DN36735_c0_g1	-1.77674079617721"
"muscle myosin complex	GO:0005859;GO:0036379	4	TRINITY_DN30897_c0_g1	0.260923520035845"
"muscle myosin complex	GO:0005859;GO:0036379	4	TRINITY_DN15520_c0_g1	-1.35098463639683"
"muscle myosin complex	GO:0005859;GO:0036379	4	TRINITY_DN35753_c0_g1	-0.262701452425707"
"muscle myosin complex	GO:0005859;GO:0036379	4	TRINITY_DN7777_c0_g1	-0.174904514083745"
"muscle myosin complex	GO:0005859;GO:0036379	4	TRINITY_DN27535_c0_g1	-1.56897719624878"
"muscle myosin complex	GO:0005859;GO:0036379	4	TRINITY_DN29920_c0_g1	-1.06154498994314"
"muscle myosin complex	GO:0005859;GO:0036379	4	TRINITY_DN30848_c0_g1	-0.555799190548719"
"actin filament bundle	GO:0032432;GO:0001725;GO:0097517	4	TRINITY_DN29440_c0_g1	-1.43252774038497"
"actin filament bundle	GO:0032432;GO:0001725;GO:0097517	4	TRINITY_DN29465_c0_g1	0.552646129161968"
"actin filament bundle	GO:0032432;GO:0001725;GO:0097517	4	TRINITY_DN38130_c0_g1	-0.0141925847627042"
"actin filament bundle	GO:0032432;GO:0001725;GO:0097517	4	TRINITY_DN14457_c0_g1	0.352695867691263"
"actin filament bundle	GO:0032432;GO:0001725;GO:0097517	4	TRINITY_DN16636_c0_g1	-0.106434054126573"
"actin filament bundle	GO:0032432;GO:0001725;GO:0097517	4	TRINITY_DN35728_c0_g1	0.752230739470896"
"actin filament bundle	GO:0032432;GO:0001725;GO:0097517	4	TRINITY_DN27115_c0_g1	0.0072151119430699"
"actin filament bundle	GO:0032432;GO:0001725;GO:0097517	4	TRINITY_DN26834_c0_g1	-1.60565255438019"
"nuclear pore outer ring	GO:0031080	2	TRINITY_DN39317_c0_g1	0.308352701131989"
"nuclear pore outer ring	GO:0031080	2	TRINITY_DN10920_c0_g1	0.262990020760194"
"nuclear pore outer ring	GO:0031080	2	TRINITY_DN28071_c0_g1	-0.961506639196444"
"nuclear pore outer ring	GO:0031080	2	TRINITY_DN24086_c0_g1	-0.120116855696227"
"nuclear pore outer ring	GO:0031080	2	TRINITY_DN39090_c0_g1	0.0854252598146859"
"nuclear transcription factor complex	GO:0090575;GO:0044798	3	TRINITY_DN34360_c0_g1	-0.508776276217748"
"nuclear transcription factor complex	GO:0090575;GO:0044798	3	TRINITY_DN11464_c0_g1	0.158625531917773"
"nuclear transcription factor complex	GO:0090575;GO:0044798	3	TRINITY_DN26133_c0_g1	1.14108950028191"
"nuclear transcription factor complex	GO:0090575;GO:0044798	3	TRINITY_DN37675_c0_g1	0.380442026459823"
"nuclear transcription factor complex	GO:0090575;GO:0044798	3	TRINITY_DN24722_c1_g1	1.31211510232229"
"nuclear transcription factor complex	GO:0090575;GO:0044798	3	TRINITY_DN16521_c0_g1	-2.55393939490229"
"nuclear transcription factor complex	GO:0090575;GO:0044798	3	TRINITY_DN5368_c0_g1	-0.240824544401698"
"nuclear transcription factor complex	GO:0090575;GO:0044798	3	TRINITY_DN33511_c0_g1	-0.651741659562672"
"nuclear transcription factor complex	GO:0090575;GO:0044798	3	TRINITY_DN20294_c0_g1	-0.0744518130782535"
"transcription elongation factor complex	GO:0008023	2	TRINITY_DN21823_c1_g1	-0.208283536318062"
"transcription elongation factor complex	GO:0008023	2	TRINITY_DN21878_c0_g1	1.22269690827818"
"transcription elongation factor complex	GO:0008023	2	TRINITY_DN7043_c0_g1	-0.695096334914203"
"transcription elongation factor complex	GO:0008023	2	TRINITY_DN7711_c0_g1	0.0941665854624739"
"transcription elongation factor complex	GO:0008023	2	TRINITY_DN23172_c0_g1	-0.219394033743068"
"transcription elongation factor complex	GO:0008023	2	TRINITY_DN32311_c0_g1	-0.349806396291462"
"transcription elongation factor complex	GO:0008023	2	TRINITY_DN35043_c0_g1	-2.48974198157044"
"transcription elongation factor complex	GO:0008023	2	TRINITY_DN34208_c0_g1	-2.50043018123218"
"transcription elongation factor complex	GO:0008023	2	TRINITY_DN36206_c0_g1	0.230211716585064"
"transcription elongation factor complex	GO:0008023	2	TRINITY_DN38093_c0_g1	-0.794089170161929"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN28621_c1_g1	0.00157576510457777"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN5646_c0_g1	0.0395796898594853"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN495_c0_g1	0.153611011480169"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN28101_c0_g1	0.153761622723427"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN4576_c0_g1	-0.219144691777375"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN39133_c0_g1	0.199758326084148"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN8860_c0_g1	-0.397548421079876"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN33055_c0_g1	-1.67792489861968"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN19266_c0_g1	-0.423776623819869"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN1916_c0_g1	-0.354248185270397"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN18263_c0_g1	-0.102407258043294"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN9174_c0_g1	-0.170521701329972"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN7173_c0_g1	-0.18625595778084"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN35827_c1_g1	-1.2151318265571"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN33008_c0_g1	0.66876978631425"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN26375_c0_g1	-0.0265299447908095"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN2571_c0_g1	0.0818184419087156"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN12647_c0_g1	1.65974172707993"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN39252_c0_g1	-0.143544570309576"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN7674_c0_g1	-1.25295034009469"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN38536_c0_g1	0.713492655267086"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN9167_c0_g1	0.608146176633737"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN35275_c0_g1	-0.99459397269675"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN35105_c0_g1	0.396218663349714"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN21417_c0_g1	0.135326813358613"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN27909_c0_g1	0.865373144806097"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN38543_c0_g1	-0.0752034591916367"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN31830_c0_g1	-0.977943369973896"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN29769_c0_g1	-3.06916180457485"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN27716_c0_g1	-0.710950954519022"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN18052_c0_g1	-0.555852929236418"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN28863_c0_g1	-2.99356970336335"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN7520_c0_g1	0.217458114707326"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN33425_c0_g1	0.072242591956562"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN33532_c0_g1	0.611014227949791"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN10558_c0_g1	0.278827291094136"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN25940_c0_g1	-1.05458537913087"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN35013_c0_g1	-0.858824734675717"
"cytoplasmic vesicle part	GO:0044433	2	TRINITY_DN18815_c0_g1	-0.623864428031734"
