"brood 33 larvae, day 8, pH 7.6",,,,,,
,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
TRINITY_DN0_c0_g1,3.944039795,-3.255494665,2.700753216,-1.205402495,0.228047959,1
TRINITY_DN10003_c0_g1,5.394601474,2.417166118,1.81772635,1.329774484,0.183592585,1
TRINITY_DN10006_c0_g1,3.655674565,-3.236325281,2.708996053,-1.194658544,0.232220466,1
TRINITY_DN10007_c0_g1,2.882500915,0.619839146,2.329325415,0.266102427,0.790160326,1
TRINITY_DN10013_c0_g1,10.01536156,-0.504003393,1.400071801,-0.359983961,0.718859128,1
TRINITY_DN10015_c0_g1,0.848156331,-1.006711373,5.279577495,-0.190680291,0.848776081,1
TRINITY_DN10016_c0_g1,8.473852999,-0.93437354,1.580208,-0.591297817,0.554320892,1
TRINITY_DN10017_c0_g1,2.847025764,0.301786623,2.694593601,0.111997083,0.91082572,1
TRINITY_DN10018_c0_g1,0.605349295,0.661524608,5.426818546,0.121899157,0.902978883,1
TRINITY_DN1001_c0_g1,7.320100854,0.136365456,1.5546436,0.087714931,0.930103252,1
TRINITY_DN10020_c0_g1,4.048378672,-1.614531636,2.924161567,-0.552134894,0.580855937,1
TRINITY_DN10021_c0_g1,1.154905792,-1.783920553,3.820594518,-0.466922241,0.640555512,1
TRINITY_DN10024_c0_g1,17.49529889,0.263548406,1.041474644,0.253053118,0.800227166,1
TRINITY_DN10026_c0_g1,9.91027704,-0.603442794,1.405793951,-0.429254084,0.667738328,1
TRINITY_DN10028_c0_g1,5.517366325,-3.831946307,5.656800641,-0.677405224,0.498148884,1
TRINITY_DN1002_c0_g1,14.53217658,-0.227219213,1.244100708,-0.182637315,0.855082604,1
TRINITY_DN10031_c0_g1,14.594209,-0.956341913,1.272076472,-0.751795929,0.452173791,1
TRINITY_DN10032_c0_g1,12.18379315,-0.437913368,1.367626574,-0.320199516,0.74881709,1
TRINITY_DN10036_c0_g1,15.69824094,-0.151972832,1.14895802,-0.132270135,0.894770629,1
TRINITY_DN1003_c0_g1,3.468598015,-3.475547549,2.836838497,-1.22514819,0.220519391,1
TRINITY_DN10040_c0_g1,2.947908006,-2.604529767,2.996956325,-0.869058299,0.384815244,1
TRINITY_DN10041_c0_g1,1.663758522,1.287037635,3.552778677,0.362262261,0.717156057,1
TRINITY_DN10042_c0_g1,5.350720052,0.046166297,1.856942341,0.024861459,0.980165469,1
TRINITY_DN10043_c0_g1,13.93914974,1.114239287,1.107190947,1.006365966,0.314239559,1
TRINITY_DN1004_c0_g1,6.642654783,1.136903419,1.708337033,0.665502999,0.505728826,1
TRINITY_DN10051_c0_g1,16.75670798,0.441261595,1.510056962,0.292215199,0.770122092,1
TRINITY_DN10053_c0_g1,0.705346884,-0.416139327,5.624783077,-0.073983178,0.941023771,1
TRINITY_DN10055_c0_g1,5.083532675,0.576011427,1.916676967,0.300526086,0.763775902,1
TRINITY_DN10056_c0_g1,1.114028007,-1.288723184,3.840944317,-0.335522486,0.737230986,1
TRINITY_DN1005_c0_g1,5.816342763,-1.610384682,2.020145038,-0.797162903,0.425356428,1
TRINITY_DN10064_c0_g1,2.081870788,0.225542015,2.774745443,0.081283858,0.935216211,1
TRINITY_DN10065_c0_g1,0.488162618,0.66151971,5.770660056,0.114635016,0.908734424,1
TRINITY_DN10066_c0_g1,7.136515723,0.190750606,1.727932802,0.110392375,0.9120982,1
TRINITY_DN10067_c0_g1,1.521407383,2.275926687,3.359130086,0.677534549,0.498066857,1
TRINITY_DN10068_c0_g1,10.55383578,-2.162411376,1.860141511,-1.162498317,0.245033108,1
TRINITY_DN1006_c0_g1,32.75148514,-0.225597115,0.864221017,-0.261040996,0.794060893,1
TRINITY_DN10070_c0_g1,0.803752388,-1.156224039,4.56575011,-0.253238572,0.800083861,1
TRINITY_DN10074_c0_g1,23.23493596,0.804162673,3.140277107,0.256080163,0.797888939,1
TRINITY_DN10075_c0_g1,29.19858873,1.072439634,0.930808655,1.152159069,0.249255714,1
TRINITY_DN10076_c0_g1,3.20175073,0.693485645,2.606831581,0.266026256,0.790218988,1
TRINITY_DN10077_c0_g1,0.644315253,0.661524375,5.311130696,0.124554339,0.900876379,1
TRINITY_DN10078_c0_g1,23.87751194,1.079557053,0.926946209,1.164638296,0.244165435,1
TRINITY_DN10079_c0_g1,3.958061585,-2.725049023,2.716770627,-1.003047145,0.315838115,1
TRINITY_DN10081_c0_g1,2.561715798,2.405350506,2.432447861,0.988860047,0.32273162,1
TRINITY_DN10084_c0_g1,41.09235943,-3.313509838,3.742763148,-0.885311121,0.375988854,1
TRINITY_DN10085_c0_g1,2.086213603,-1.872609213,3.255009471,-0.575300696,0.565087951,1
TRINITY_DN10086_c0_g1,27.81246981,1.010005845,1.183264033,0.853576055,0.393339931,1
TRINITY_DN10087_c0_g1,91.15002381,0.033098695,0.738767807,0.044802568,0.964264678,1
TRINITY_DN1008_c0_g1,69.13056197,-0.767335406,0.707167977,-1.085082231,0.277885236,1
