"brood 33 juveniles, 4DPM, pH 7.6",,,,,,
,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
TRINITY_DN0_c0_g1,7.274488697,-0.242014868,0.835847587,-0.289544257,0.772164918,1
TRINITY_DN10003_c0_g1,10.68950794,0.534426336,0.624271532,0.856079939,0.391953564,1
TRINITY_DN10006_c0_g1,7.400494608,0.058409492,0.739214746,0.079015593,0.93702022,1
TRINITY_DN10007_c0_g1,7.086846925,-0.521422803,0.844399601,-0.617507164,0.536900258,1
TRINITY_DN10013_c0_g1,14.01389019,0.295208186,0.528408223,0.558674474,0.576383904,1
TRINITY_DN10015_c0_g1,2.510725427,-2.714973848,1.912495644,-1.419597403,0.155724922,1
TRINITY_DN10016_c0_g1,12.61315804,0.304782997,0.632387058,0.481956411,0.629836912,1
TRINITY_DN10017_c0_g1,2.288209432,-0.957701862,1.486171603,-0.644408667,0.519310466,1
TRINITY_DN10018_c0_g1,0.977507085,2.49848094,2.432120707,1.027284926,0.304286318,1
TRINITY_DN1001_c0_g1,12.06292205,-0.856672597,0.610316276,-1.403653533,0.160422046,1
TRINITY_DN10020_c0_g1,10.77230536,0.458502674,0.859702545,0.53332711,0.593807164,1
TRINITY_DN10021_c0_g1,1.491518048,1.2688538,1.755713764,0.722699694,0.469864404,1
TRINITY_DN10024_c0_g1,22.40193125,0.054474364,0.479596632,0.113583708,0.909567803,1
TRINITY_DN10026_c0_g1,14.31106035,0.108182659,0.680747725,0.158917401,0.873733951,1
TRINITY_DN10028_c0_g1,16.22001156,-2.085483341,2.0906662,-0.997520953,0.318511708,1
TRINITY_DN1002_c0_g1,20.57135184,0.237187413,0.45290049,0.523707564,0.600481954,1
TRINITY_DN10031_c0_g1,11.44408957,-0.797490155,0.716968278,-1.112308842,0.266005384,1
TRINITY_DN10032_c0_g1,38.79559613,-0.901784587,0.536562179,-1.680671173,0.092826803,1
TRINITY_DN10036_c0_g1,25.09303036,-0.044509713,0.511045063,-0.087095476,0.930595622,1
TRINITY_DN1003_c0_g1,3.62890365,1.63955626,1.171444153,1.39960258,0.161632361,1
TRINITY_DN10040_c0_g1,4.682025221,0.210856542,0.932799923,0.226046912,0.821164934,1
TRINITY_DN10041_c0_g1,3.63797556,-0.86176095,1.070303394,-0.805155767,0.420729798,1
TRINITY_DN10042_c0_g1,9.422890226,-0.010534105,0.698835872,-0.01507379,0.987973311,1
TRINITY_DN10043_c0_g1,16.38533361,0.219442988,0.523792044,0.418950595,0.67525224,1
TRINITY_DN1004_c0_g1,8.762156816,0.354462311,0.674725364,0.525343095,0.599344704,1
TRINITY_DN10051_c0_g1,14.78969846,0.528505685,0.975615071,0.541715376,0.588014596,1
TRINITY_DN10053_c0_g1,2.324714206,-2.196071577,1.910068711,-1.149734334,0.250253309,1
TRINITY_DN10055_c0_g1,2.967568768,0.916702863,1.347248896,0.680425767,0.49623491,1
TRINITY_DN10056_c0_g1,1.772762462,1.460365155,1.435818317,1.017096061,0.309107734,1
TRINITY_DN1005_c0_g1,6.443631832,-0.088763433,0.873595252,-0.101607046,0.919068587,1
TRINITY_DN10064_c0_g1,2.820777829,-0.608246924,1.137482918,-0.534730601,0.592836158,1
