brood 37 (48-h) mapped counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b37_0_8A.fastq.trim.sam.counts,b37_0_8B.fastq.trim.sam.counts,b37_0_8C.fastq.trim.sam.counts,b37_0_8D.fastq.trim.sam.counts,b37_10_7.5A.fastq.trim.sam.counts,b37_10_7.5B.fastq.trim.sam.counts,b37_10_7.5C.fastq.trim.sam.counts,b37_10_7.5D.fastq.trim.sam.counts,b37_10_8A.fastq.trim.sam.counts,b37_10_8B.fastq.trim.sam.counts,b37_10_8C.fastq.trim.sam.counts,b37_10_8D.fastq.trim.sam.counts,b37_24_7.5A.fastq.trim.sam.counts,b37_24_7.5B.fastq.trim.sam.counts,b37_24_7.5C.fastq.trim.sam.counts,b37_24_7.5D.fastq.trim.sam.counts,b37_24_8A.fastq.trim.sam.counts,b37_24_8B.fastq.trim.sam.counts,b37_24_8C.fastq.trim.sam.counts,b37_24_8D.fastq.trim.sam.counts,b37_48_7.5A.fastq.trim.sam.counts,b37_48_7.5B.fastq.trim.sam.counts,b37_48_7.5C.fastq.trim.sam.counts,b37_48_7.5D.fastq.trim.sam.counts,b37_48_8A.fastq.trim.sam.counts,b37_48_8B.fastq.trim.sam.counts,b37_48_8C.fastq.trim.sam.counts,b37_48_8D.fastq.trim.sam.counts,b37_4_7.5A.fastq.trim.sam.counts,b37_4_7.5B.fastq.trim.sam.counts,b37_4_7.5C.fastq.trim.sam.counts,b37_4_7.5D.fastq.trim.sam.counts,b37_4_8A.fastq.trim.sam.counts,b37_4_8B.fastq.trim.sam.counts,b37_4_8C.fastq.trim.sam.counts,b37_4_8D.fastq.trim.sam.counts
TRINITY_DN0_c0_g1,0,4,3,1,2,3,2,0,1,0,2,2,0,0,0,0,0,2,2,4,1,6,0,2,2,5,2,3,3,7,2,5,4,0,1,0
TRINITY_DN10003_c0_g1,1,5,0,2,1,0,1,0,1,0,0,6,2,0,0,0,0,2,0,2,9,9,1,4,0,2,0,0,1,6,0,2,2,0,0,0
TRINITY_DN10006_c0_g1,1,0,1,0,4,5,1,0,2,0,3,2,1,0,2,0,0,2,1,8,4,11,2,1,2,4,0,6,1,2,0,3,2,0,0,0
TRINITY_DN10007_c0_g1,0,1,0,0,0,0,3,0,0,2,0,1,0,0,1,0,0,0,0,2,0,4,0,1,0,0,0,1,6,0,0,2,8,0,0,0
TRINITY_DN10013_c0_g1,3,9,7,0,0,6,12,0,4,0,2,7,3,0,5,0,0,6,1,6,3,9,2,2,1,6,5,4,5,4,1,2,15,1,1,0
TRINITY_DN10015_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10016_c0_g1,0,10,5,0,5,6,7,0,2,2,1,10,3,0,1,1,1,6,0,8,2,9,1,4,4,4,1,6,3,6,3,1,8,1,1,0
TRINITY_DN10017_c0_g1,0,2,0,0,0,3,0,0,0,1,1,0,0,0,0,0,1,0,0,2,2,3,0,1,1,0,1,0,1,0,1,0,1,0,0,0
TRINITY_DN10018_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0
TRINITY_DN1001_c0_g1,0,0,0,1,0,0,2,0,0,0,0,3,1,0,1,0,0,2,0,1,0,0,2,0,1,4,1,1,7,7,0,0,6,0,1,0
TRINITY_DN10020_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10021_c0_g1,1,1,2,0,0,2,3,0,3,0,0,2,1,0,2,0,0,4,0,2,0,4,0,1,1,4,0,3,2,5,0,1,2,0,0,0
