brood 33 (16-d) mapped counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b33_11_7.5A.fastq.trim.sam.counts,b33_11_7.5B.fastq.trim.sam.counts,b33_11_7.5C.fastq.trim.sam.counts,b33_11_7.6A.fastq.trim.sam.counts,b33_11_7.6B.fastq.trim.sam.counts,b33_11_7.6C.fastq.trim.sam.counts,b33_11_7.6D.fastq.trim.sam.counts,b33_11_8A.fastq.trim.sam.counts,b33_11_8B.fastq.trim.sam.counts,b33_11_8D.fastq.trim.sam.counts,b33_16_7.5B.fastq.trim.sam.counts,b33_16_7.5C.fastq.trim.sam.counts,b33_16_7.5D.fastq.trim.sam.counts,b33_16_7.6A.fastq.trim.sam.counts,b33_16_7.6C.fastq.trim.sam.counts,b33_16_7.6D.fastq.trim.sam.counts,b33_16_8A.fastq.trim.sam.counts,b33_16_8B.fastq.trim.sam.counts,b33_16_8C.fastq.trim.sam.counts,b33_16_8D.fastq.trim.sam.counts,b33_4_7.5A.fastq.trim.sam.counts,b33_4_7.5B.fastq.trim.sam.counts,b33_4_7.6B.fastq.trim.sam.counts,b33_4_7.6C.fastq.trim.sam.counts,b33_4_8B.fastq.trim.sam.counts,b33_4_8C.fastq.trim.sam.counts,b33_8_7.5B.fastq.trim.sam.counts,b33_8_7.5C.fastq.trim.sam.counts,b33_8_7.5D.fastq.trim.sam.counts,b33_8_7.6B.fastq.trim.sam.counts,b33_8_7.6C.fastq.trim.sam.counts,b33_8_7.6D.fastq.trim.sam.counts,b33_8_8A.fastq.trim.sam.counts,b33_8_8C.fastq.trim.sam.counts,b33_8_8D.fastq.trim.sam.counts
TRINITY_DN0_c0_g1,4,4,0,4,2,0,2,8,4,2,8,5,17,6,8,3,0,5,6,6,6,2,15,2,16,13,8,7,3,0,1,0,6,2,8
TRINITY_DN10003_c0_g1,7,6,0,4,5,0,5,11,12,3,5,16,9,21,10,16,0,9,10,7,11,0,17,7,2,7,5,12,2,6,0,0,0,7,4
TRINITY_DN10006_c0_g1,5,1,0,7,4,0,3,11,3,5,0,7,4,12,6,18,0,10,9,8,1,3,9,4,7,9,7,7,2,0,3,0,5,4,7
TRINITY_DN10007_c0_g1,2,6,0,6,5,0,2,4,9,5,6,7,8,4,1,17,0,6,8,10,3,0,6,14,7,10,3,0,2,2,0,0,4,5,3
TRINITY_DN10013_c0_g1,9,8,0,14,10,1,13,13,17,17,10,17,13,18,15,23,0,13,7,18,8,8,15,11,17,18,15,14,8,3,0,0,9,16,15
TRINITY_DN10015_c0_g1,2,4,0,0,0,0,0,2,0,0,3,0,0,1,0,2,0,1,0,17,0,1,0,1,0,0,0,0,3,0,0,0,3,0,0
TRINITY_DN10016_c0_g1,9,10,2,10,14,2,5,11,20,11,8,17,16,26,10,11,0,10,5,18,8,9,18,9,16,19,11,15,6,2,1,0,8,17,11
TRINITY_DN10017_c0_g1,1,3,0,3,0,0,1,4,2,0,2,2,6,0,3,1,0,3,0,4,6,3,10,3,2,8,1,9,5,1,1,0,0,7,1
TRINITY_DN10018_c0_g1,0,1,0,1,0,0,2,0,1,0,1,5,0,2,0,2,0,0,0,0,2,0,0,0,1,0,3,0,1,0,0,0,0,1,0
TRINITY_DN1001_c0_g1,3,6,0,6,12,0,17,12,4,11,10,9,9,7,14,11,0,11,15,23,8,0,1,3,6,2,8,7,11,3,1,0,9,7,9
TRINITY_DN10020_c0_g1,11,2,0,8,10,2,10,27,5,11,12,2,1,23,15,12,0,11,7,13,0,0,2,0,2,0,18,2,8,0,1,0,3,2,0
TRINITY_DN10021_c0_g1,2,0,0,2,1,0,6,1,0,1,1,3,2,0,4,2,0,1,1,0,3,5,4,2,1,7,3,1,0,0,0,0,1,1,4
TRINITY_DN10024_c0_g1,12,20,0,31,19,3,5,30,22,17,8,33,19,20,33,35,0,16,18,38,31,16,22,17,21,33,17,25,20,8,5,0,17,19,26
