"brood 37 larvae, hour 4, pH 7.5",,,,,,
,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
TRINITY_DN0_c0_g1,3.343140353,0.548715992,1.332924817,0.411663123,0.680586358,0.999884302
TRINITY_DN10003_c0_g1,1.11074569,0.865927697,2.130931811,0.406361054,0.684477331,0.999884302
TRINITY_DN10006_c0_g1,1.045046912,0.667211266,2.201087432,0.303128016,0.761792304,0.999884302
TRINITY_DN10007_c0_g1,1.636762287,-0.415358034,2.012468151,-0.206392351,0.836484445,0.999884302
TRINITY_DN10013_c0_g1,3.233519649,-1.324708944,1.232348091,-1.074947049,0.282398436,0.999884302
TRINITY_DN10015_c0_g1,0,NA,NA,NA,NA,NA
TRINITY_DN10016_c0_g1,2.88631685,-0.590336842,1.314732307,-0.449016761,0.653419566,0.999884302
TRINITY_DN10017_c0_g1,0.390878794,-0.328502969,3.30788543,-0.099309053,0.920892891,0.999884302
TRINITY_DN10018_c0_g1,0,NA,NA,NA,NA,NA
TRINITY_DN1001_c0_g1,2.389285619,-0.573919494,1.597576991,-0.359243715,0.719412776,0.999884302
TRINITY_DN10020_c0_g1,0,NA,NA,NA,NA,NA
TRINITY_DN10021_c0_g1,0.928384279,0.611497814,2.232071119,0.273959825,0.784115496,0.999884302
TRINITY_DN10024_c0_g1,2.864931439,0.902042541,1.450838864,0.621738612,0.534113758,0.999884302
TRINITY_DN10026_c0_g1,5.726745224,-0.422374978,1.071932961,-0.39403115,0.693558041,0.999884302
TRINITY_DN10028_c0_g1,0.069028527,-1.930784439,4.245588195,-0.454774309,0.649271615,0.999884302
TRINITY_DN1002_c0_g1,1.738554517,0.518052387,1.798633125,0.288025601,0.773327142,0.999884302
TRINITY_DN10031_c0_g1,1.000135542,0.662201347,2.068995763,0.320059305,0.748923374,0.999884302
TRINITY_DN10032_c0_g1,18.35218752,-1.123346341,0.622788722,-1.803735842,0.071272728,0.999884302
TRINITY_DN10034_c0_g1,0.571949271,1.700079704,2.888838473,0.588499399,0.556197137,0.999884302
TRINITY_DN10036_c0_g1,2.904194018,0.089069292,1.446888501,0.061559195,0.950913873,0.999884302
TRINITY_DN1003_c0_g1,0.932560166,1.276278005,2.267412655,0.562878575,0.57351757,0.999884302
TRINITY_DN10040_c0_g1,3.309903788,-0.452845882,1.270881746,-0.356324169,0.721597812,0.999884302
TRINITY_DN10041_c0_g1,0.578121362,0.324834044,2.903167154,0.111889542,0.910910989,0.999884302
TRINITY_DN10042_c0_g1,2.105760949,-0.050238482,1.626805673,-0.030881674,0.975363905,0.999884302
TRINITY_DN10043_c0_g1,5.439868937,-1.597625685,1.100820472,-1.451304483,0.146695094,0.999884302
TRINITY_DN1004_c0_g1,2.672145142,0.185964193,1.402223585,0.132620928,0.89449318,0.999884302
TRINITY_DN10051_c0_g1,8.375090377,1.359938281,0.948940259,1.433112641,0.151825649,0.999884302
TRINITY_DN10055_c0_g1,5.771437085,-0.053392872,0.981998812,-0.054371626,0.956639085,0.999884302
TRINITY_DN10056_c0_g1,1.245374738,0.243512491,1.998985909,0.121818013,0.903043148,0.999884302
TRINITY_DN1005_c0_g1,1.460055202,-2.51555845,2.057322104,-1.222734371,0.221430041,0.999884302
TRINITY_DN10064_c0_g1,0.779740122,-0.691317953,2.541761426,-0.271983808,0.785634469,0.999884302
TRINITY_DN10065_c0_g1,0.698833558,-1.624351427,2.839702916,-0.572014565,0.567312108,0.999884302
TRINITY_DN10066_c0_g1,3.726979567,0.756447557,1.299495657,0.582108569,0.560493554,0.999884302
TRINITY_DN10067_c0_g1,0.207085581,-2.749942549,4.224056972,-0.651019285,0.515034038,0.999884302
TRINITY_DN10068_c0_g1,2.842344341,2.25921794,1.58208152,1.428003495,0.153290852,0.999884302
TRINITY_DN1006_c0_g1,22.04564637,-0.06495846,0.601728501,-0.107953104,0.914032892,0.999884302
TRINITY_DN10070_c0_g1,1.723985748,-0.236187803,1.922002226,-0.122886332,0.902197109,0.999884302
TRINITY_DN10074_c0_g1,8.878444361,-1.125749678,0.876303188,-1.284657745,0.19891191,0.999884302
TRINITY_DN10075_c0_g1,8.193707893,0.049025827,1.003527714,0.048853486,0.961036057,0.999884302
TRINITY_DN10076_c0_g1,1.937764369,0.420474322,1.790909197,0.234782602,0.814377472,0.999884302
TRINITY_DN10077_c0_g1,1.714903417,1.043951592,1.911336747,0.546189254,0.584935852,0.999884302
