"GO Results for Biological Processes, 1DPM, 7.5 vs 8.0"

"name	term	lev	seq	value"
"peptidyl-lysine acetylation	GO:0016573;GO:0018393;GO:0018394	3	TRINITY_DN37438_c0_g1	0.0299853480974728"
"peptidyl-lysine acetylation	GO:0016573;GO:0018393;GO:0018394	3	TRINITY_DN23971_c0_g1	0.497902252728503"
"peptidyl-lysine acetylation	GO:0016573;GO:0018393;GO:0018394	3	TRINITY_DN23229_c0_g1	-0.714277935972945"
"peptidyl-lysine acetylation	GO:0016573;GO:0018393;GO:0018394	3	TRINITY_DN9153_c0_g1	-0.381491518065824"
"peptidyl-lysine acetylation	GO:0016573;GO:0018393;GO:0018394	3	TRINITY_DN37186_c0_g1	-3.9701662688494"
"peptidyl-lysine acetylation	GO:0016573;GO:0018393;GO:0018394	3	TRINITY_DN30176_c0_g1	-2.26033462841408"
"peptidyl-lysine acetylation	GO:0016573;GO:0018393;GO:0018394	3	TRINITY_DN14579_c0_g1	-0.671946823623898"
"peptidyl-lysine acetylation	GO:0016573;GO:0018393;GO:0018394	3	TRINITY_DN34155_c0_g1	-0.982510543566617"
"peptidyl-lysine acetylation	GO:0016573;GO:0018393;GO:0018394	3	TRINITY_DN32356_c0_g1	1.26204609970414"
"protein-containing complex localization	GO:0031503	4	TRINITY_DN18050_c0_g1	-1.46580376064073"
"protein-containing complex localization	GO:0031503	4	TRINITY_DN17809_c0_g1	3.27890150822796"
"protein-containing complex localization	GO:0031503	4	TRINITY_DN14651_c0_g1	-0.472946313854147"
"protein-containing complex localization	GO:0031503	4	TRINITY_DN28811_c0_g1	2.24966015608446"
"protein-containing complex localization	GO:0031503	4	TRINITY_DN23473_c0_g1	1.32178012930617"
"protein-containing complex localization	GO:0031503	4	TRINITY_DN36305_c0_g1	-2.2275913895729"
"protein-containing complex localization	GO:0031503	4	TRINITY_DN24216_c0_g1	0.912034321848477"
"centrosome duplication	GO:0051298	2	TRINITY_DN15004_c0_g1	2.29601593422441"
"centrosome duplication	GO:0051298	2	TRINITY_DN13805_c0_g1	-2.4835798622603"
"centrosome duplication	GO:0051298	2	TRINITY_DN25956_c0_g1	2.50645429268008"
"centrosome duplication	GO:0051298	2	TRINITY_DN16450_c0_g1	2.30422627014062"
"centrosome duplication	GO:0051298	2	TRINITY_DN16162_c0_g1	-0.98666336549294"
"centrosome duplication	GO:0051298	2	TRINITY_DN35114_c0_g1	-0.236375050699252"
"centrosome duplication	GO:0051298	2	TRINITY_DN17934_c0_g1	4.91975988203533"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN25624_c0_g1	-0.413379887193961"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN30922_c0_g1	0.293912417742756"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN26630_c0_g1	0.773162825783517"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN25747_c0_g1	-0.794948960019102"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN21868_c0_g1	-1.16280438956094"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN24848_c0_g1	-0.702913672731398"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN26365_c0_g1	0.647033744983383"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN28855_c0_g1	-1.45660569073654"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN4061_c0_g1	-0.208252420341724"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN39257_c0_g1	0.256149723547234"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN23047_c0_g1	-0.931197752286025"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN2571_c0_g1	-0.402552490387152"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN13805_c0_g1	-2.4835798622603"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN31071_c0_g1	0.5585492050803"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN27294_c0_g1	0.169901155111063"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN16891_c0_g1	-2.84339509287574"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN21968_c0_g1	-2.08400410433074"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN6539_c0_g1	0.455534794173664"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN33425_c0_g1	-0.834297000974251"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN39174_c0_g1	0.542270070310253"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN33402_c0_g1	1.47576646343095"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN22488_c0_g1	-0.0821276151694075"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN25940_c0_g1	-0.219554697312665"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN15301_c0_g1	0.00217845294825304"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN29392_c0_g1	1.70078850847282"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN32973_c0_g1	-0.323311749989435"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN39552_c0_g1	-1.24607017603495"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN24806_c0_g1	-0.25998182590625"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN8379_c0_g1	-2.66983082925172"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN31140_c0_g1	-0.0227594976344008"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN26685_c0_g1	-4.72693275351739"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN15510_c0_g1	0.789902223467902"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN26298_c0_g1	-1.33705923211677"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN24250_c0_g1	0.411645323790065"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN27528_c0_g1	-1.27882171152404"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN21972_c0_g1	0.186317167592134"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN31457_c0_g1	0.990246658856723"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN5073_c0_g1	1.35712234553037"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN33777_c0_g1	-0.503405996552204"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN23964_c0_g1	-0.272782159897732"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN29461_c0_g1	0.323437482350935"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN38973_c0_g1	-0.968052373886458"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN10075_c0_g1	0.582419748117605"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN15997_c0_g1	-2.22637571089593"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN22288_c0_g1	-0.444152446994775"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN38038_c0_g1	0.332158705252813"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN7696_c0_g1	-2.08672978873017"
"regulation of cell cycle	GO:0051726	2	TRINITY_DN39703_c0_g1	-0.496830159914924"
