"GO Results for Molecular Function, Hour 4, 7.5 vs 8.0"

"name	term	lev	seq	value"
"electron transfer activity	GO:0009055	2	TRINITY_DN11955_c0_g1	1.7238655692628"
"electron transfer activity	GO:0009055	2	TRINITY_DN25624_c0_g1	0.928304857401345"
"electron transfer activity	GO:0009055	2	TRINITY_DN38858_c0_g1	-0.018795528420742"
"electron transfer activity	GO:0009055	2	TRINITY_DN27096_c0_g1	0.534028771114016"
"electron transfer activity	GO:0009055	2	TRINITY_DN11733_c0_g1	-0.0375782299206341"
"electron transfer activity	GO:0009055	2	TRINITY_DN34480_c0_g1	0.355539486278336"
"electron transfer activity	GO:0009055	2	TRINITY_DN35860_c0_g1	-0.651987836183862"
"electron transfer activity	GO:0009055	2	TRINITY_DN20342_c0_g1	0.232291248758208"
"electron transfer activity	GO:0009055	2	TRINITY_DN34648_c0_g1	0.238995598940128"
"electron transfer activity	GO:0009055	2	TRINITY_DN629_c0_g1	0.129118757728757"
"electron transfer activity	GO:0009055	2	TRINITY_DN2627_c1_g1	0.273319007486224"
"electron transfer activity	GO:0009055	2	TRINITY_DN38565_c0_g1	3.07312503388516"
"electron transfer activity	GO:0009055	2	TRINITY_DN8602_c0_g1	0.315901875120592"
"electron transfer activity	GO:0009055	2	TRINITY_DN23381_c0_g1	0.646268378777743"
"electron transfer activity	GO:0009055	2	TRINITY_DN28611_c0_g1	-0.112125166639361"
"electron transfer activity	GO:0009055	2	TRINITY_DN33105_c0_g1	0.255869083502581"
"electron transfer activity	GO:0009055	2	TRINITY_DN19697_c0_g1	0.598970455447216"
"electron transfer activity	GO:0009055	2	TRINITY_DN28134_c0_g1	0.290173191177024"
"electron transfer activity	GO:0009055	2	TRINITY_DN17226_c0_g1	0.342192645597863"
"electron transfer activity	GO:0009055	2	TRINITY_DN14662_c0_g1	-0.554399478511088"
"electron transfer activity	GO:0009055	2	TRINITY_DN8150_c0_g1	-0.50645930079083"
"electron transfer activity	GO:0009055	2	TRINITY_DN35597_c0_g1	0.897893227627888"
"electron transfer activity	GO:0009055	2	TRINITY_DN491_c0_g1	-0.155544399485347"
"electron transfer activity	GO:0009055	2	TRINITY_DN37780_c0_g1	0.9239117923875"
"electron transfer activity	GO:0009055	2	TRINITY_DN6914_c0_g1	0.698316100328796"
"electron transfer activity	GO:0009055	2	TRINITY_DN33247_c0_g1	0.583986642738469"
"electron transfer activity	GO:0009055	2	TRINITY_DN167_c0_g1	0.0962227723546653"
"electron transfer activity	GO:0009055	2	TRINITY_DN19379_c0_g1	0.239042054968719"
"electron transfer activity	GO:0009055	2	TRINITY_DN11949_c0_g1	0.203918019158259"
"electron transfer activity	GO:0009055	2	TRINITY_DN591_c0_g1	3.71166803881356"
"electron transfer activity	GO:0009055	2	TRINITY_DN35332_c0_g1	-1.33660269897748"
"electron transfer activity	GO:0009055	2	TRINITY_DN1838_c0_g1	1.75468608441949"
"myosin binding	GO:0017022	4	TRINITY_DN27801_c0_g1	-0.422032079676962"
"myosin binding	GO:0017022	4	TRINITY_DN36806_c0_g1	-0.109869466005841"
"myosin binding	GO:0017022	4	TRINITY_DN15712_c1_g1	0.658689706635206"
"myosin binding	GO:0017022	4	TRINITY_DN24893_c1_g1	-1.8254331909471"
"myosin binding	GO:0017022	4	TRINITY_DN37787_c0_g1	0.0748386657813275"
"myosin binding	GO:0017022	4	TRINITY_DN35279_c0_g1	-0.065460063835053"
"protein homodimerization activity	GO:0042803	2	TRINITY_DN39788_c0_g1	-0.278028456674641"
"protein homodimerization activity	GO:0042803	2	TRINITY_DN35868_c0_g1	0.356893871577098"
"protein homodimerization activity	GO:0042803	2	TRINITY_DN38452_c0_g1	-1.40161177029015"
"protein homodimerization activity	GO:0042803	2	TRINITY_DN26120_c0_g1	-0.277321106459537"
"protein homodimerization activity	GO:0042803	2	TRINITY_DN23385_c0_g1	0.664689815639028"
"protein homodimerization activity	GO:0042803	2	TRINITY_DN20659_c0_g1	0.306195322490446"
"protein homodimerization activity	GO:0042803	2	TRINITY_DN27482_c0_g1	0.891363306426939"
"protein homodimerization activity	GO:0042803	2	TRINITY_DN20592_c0_g1	0.00331845081367242"
"protein homodimerization activity	GO:0042803	2	TRINITY_DN19494_c0_g1	-0.128832478047952"
"protein homodimerization activity	GO:0042803	2	TRINITY_DN24297_c0_g1	-1.29910775656206"
"protein homodimerization activity	GO:0042803	2	TRINITY_DN2283_c0_g1	0.214430666062144"
"protein homodimerization activity	GO:0042803	2	TRINITY_DN28287_c0_g1	-0.0907584957776243"
"protein homodimerization activity	GO:0042803	2	TRINITY_DN7719_c0_g1	-0.564338407792954"
"protein homodimerization activity	GO:0042803	2	TRINITY_DN12226_c0_g1	-1.46703040297147"
"protein homodimerization activity	GO:0042803	2	TRINITY_DN433_c0_g1	0.0683909512162791"
"protein homodimerization activity	GO:0042803	2	TRINITY_DN37357_c0_g1	0.00879764307133945"
