"GO Results for Biological Processes, Hour 4, 7.5 vs 8.0"

"name	term	lev	seq	value"
"negative regulation of lymphocyte activation	GO:0051250;GO:0002695;GO:0050866	2	TRINITY_DN18122_c0_g1	-1.26281887809342"
"negative regulation of lymphocyte activation	GO:0051250;GO:0002695;GO:0050866	2	TRINITY_DN36686_c0_g1	-1.10989874060814"
"negative regulation of lymphocyte activation	GO:0051250;GO:0002695;GO:0050866	2	TRINITY_DN34697_c0_g1	0.197732896895997"
"negative regulation of lymphocyte activation	GO:0051250;GO:0002695;GO:0050866	2	TRINITY_DN35718_c0_g1	0.854745587099893"
"negative regulation of lymphocyte activation	GO:0051250;GO:0002695;GO:0050866	2	TRINITY_DN34367_c0_g1	-4.18041761886975"
"regulation of ossification	GO:0030278	2	TRINITY_DN9448_c0_g1	-0.277679861756276"
"regulation of ossification	GO:0030278	2	TRINITY_DN27546_c0_g1	-1.29902579609496"
"regulation of ossification	GO:0030278	2	TRINITY_DN35241_c0_g1	-0.0414913842255099"
"regulation of ossification	GO:0030278	2	TRINITY_DN32459_c0_g1	0.958181129826752"
"regulation of ossification	GO:0030278	2	TRINITY_DN33704_c0_g1	0.434382769255523"
"regulation of ossification	GO:0030278	2	TRINITY_DN19368_c0_g1	-0.0536575522413846"
"protein targeting	GO:0006605	2	TRINITY_DN495_c0_g1	-0.68136269671302"
"protein targeting	GO:0006605	2	TRINITY_DN1229_c0_g1	1.45182756844303"
"protein targeting	GO:0006605	2	TRINITY_DN3403_c0_g1	-1.27621875045869"
"protein targeting	GO:0006605	2	TRINITY_DN11196_c0_g1	-0.162524238698329"
"protein targeting	GO:0006605	2	TRINITY_DN2571_c0_g1	-3.88105810232314"
"protein targeting	GO:0006605	2	TRINITY_DN27805_c0_g1	-0.685247362755464"
"protein targeting	GO:0006605	2	TRINITY_DN12112_c0_g1	3.25678616802992"
"protein targeting	GO:0006605	2	TRINITY_DN32426_c0_g1	-0.303802432031316"
"protein targeting	GO:0006605	2	TRINITY_DN37834_c0_g1	0.0383137424078204"
"protein targeting	GO:0006605	2	TRINITY_DN852_c0_g1	0.524996777300302"
"protein targeting	GO:0006605	2	TRINITY_DN18059_c0_g1	1.41855415505444"
"protein targeting	GO:0006605	2	TRINITY_DN10362_c0_g1	-0.757899738111064"
"protein targeting	GO:0006605	2	TRINITY_DN25908_c0_g1	-0.258190618662636"
"protein targeting	GO:0006605	2	TRINITY_DN3517_c0_g1	-0.707207689114681"
"protein targeting	GO:0006605	2	TRINITY_DN23712_c0_g1	-0.505438299308597"
"protein targeting	GO:0006605	2	TRINITY_DN3894_c0_g1	-0.695769475504194"
"protein targeting	GO:0006605	2	TRINITY_DN19825_c0_g1	-0.324271019823721"
"protein targeting	GO:0006605	2	TRINITY_DN12103_c0_g1	0.0908756254673966"
"protein targeting	GO:0006605	2	TRINITY_DN15550_c0_g1	-0.416740632368674"
"protein targeting	GO:0006605	2	TRINITY_DN9543_c0_g1	-0.0797490841184853"
"protein targeting	GO:0006605	2	TRINITY_DN27026_c0_g1	0.928340090312488"
"protein targeting	GO:0006605	2	TRINITY_DN16180_c0_g1	-0.825559462376028"
"protein targeting	GO:0006605	2	TRINITY_DN35740_c0_g1	0.865528020444094"
"protein targeting	GO:0006605	2	TRINITY_DN35467_c0_g1	0.533710043779258"
"protein targeting	GO:0006605	2	TRINITY_DN30056_c0_g1	-0.651567334611201"
"protein targeting	GO:0006605	2	TRINITY_DN25979_c0_g1	-1.18590305225605"
"protein targeting	GO:0006605	2	TRINITY_DN24945_c0_g1	1.03076716412847"
"protein stabilization	GO:0050821	4	TRINITY_DN2442_c0_g1	-0.92869666806366"
"protein stabilization	GO:0050821	4	TRINITY_DN21147_c0_g1	-0.0156452598463156"
"protein stabilization	GO:0050821	4	TRINITY_DN34360_c0_g1	-0.671708047638015"
"protein stabilization	GO:0050821	4	TRINITY_DN25940_c0_g1	0.150482380988591"
"protein stabilization	GO:0050821	4	TRINITY_DN4885_c0_g1	1.05255950581841"
"protein stabilization	GO:0050821	4	TRINITY_DN10485_c0_g1	-0.341896068674598"
"protein stabilization	GO:0050821	4	TRINITY_DN39993_c0_g1	-0.0375782299206341"
"protein stabilization	GO:0050821	4	TRINITY_DN39256_c0_g1	-1.47892283364677"
"protein stabilization	GO:0050821	4	TRINITY_DN14361_c0_g1	-0.519927433685249"
"protein stabilization	GO:0050821	4	TRINITY_DN23977_c0_g1	-0.226356532596756"
"protein stabilization	GO:0050821	4	TRINITY_DN33777_c0_g1	0.133351081731501"
"protein stabilization	GO:0050821	4	TRINITY_DN22464_c1_g1	-2.25201808926901"
"protein stabilization	GO:0050821	4	TRINITY_DN23995_c0_g1	0.138445193973005"
"protein stabilization	GO:0050821	4	TRINITY_DN7696_c0_g1	-1.43006053786572"
"cellular component assembly involved in morphogenesis	GO:0010927	2	TRINITY_DN36735_c0_g1	0.897082729789275"
"cellular component assembly involved in morphogenesis	GO:0010927	2	TRINITY_DN33055_c0_g1	-0.448980317659669"
"cellular component assembly involved in morphogenesis	GO:0010927	2	TRINITY_DN24317_c0_g1	2.15242025862875"
"cellular component assembly involved in morphogenesis	GO:0010927	2	TRINITY_DN28715_c0_g1	-0.318963307025565"
"cellular component assembly involved in morphogenesis	GO:0010927	2	TRINITY_DN22302_c0_g1	-0.231398699314854"
"cellular component assembly involved in morphogenesis	GO:0010927	2	TRINITY_DN30897_c0_g1	-0.599834491343975"
"cellular component assembly involved in morphogenesis	GO:0010927	2	TRINITY_DN35753_c0_g1	-0.0227181309428593"
"cellular component assembly involved in morphogenesis	GO:0010927	2	TRINITY_DN27115_c0_g1	0.219064703082748"
"cellular component assembly involved in morphogenesis	GO:0010927	2	TRINITY_DN30848_c0_g1	2.01640327109778"
"cellular component assembly involved in morphogenesis	GO:0010927	2	TRINITY_DN11702_c0_g1	0.352477084050192"
"cellular component assembly involved in morphogenesis	GO:0010927	2	TRINITY_DN33511_c0_g1	0.743168261298278"
"cellular component assembly involved in morphogenesis	GO:0010927	2	TRINITY_DN37787_c0_g1	0.0748386657813275"
"cellular component assembly involved in morphogenesis	GO:0010927	2	TRINITY_DN29920_c0_g1	-0.130050655128876"
"immune response-regulating signaling pathway	GO:0002764;GO:0002758;GO:0002757;GO:0002218	2	TRINITY_DN26974_c0_g1	-1.7377765953168"
"immune response-regulating signaling pathway	GO:0002764;GO:0002758;GO:0002757;GO:0002218	2	TRINITY_DN39032_c0_g1	-0.0577765011148239"
"immune response-regulating signaling pathway	GO:0002764;GO:0002758;GO:0002757;GO:0002218	2	TRINITY_DN8002_c0_g1	0.275387835858044"
"immune response-regulating signaling pathway	GO:0002764;GO:0002758;GO:0002757;GO:0002218	2	TRINITY_DN39031_c0_g1	-0.359082391993026"
"immune response-regulating signaling pathway	GO:0002764;GO:0002758;GO:0002757;GO:0002218	2	TRINITY_DN27909_c0_g1	0.16445918893974"
"immune response-regulating signaling pathway	GO:0002764;GO:0002758;GO:0002757;GO:0002218	2	TRINITY_DN39993_c0_g1	-0.0375782299206341"
"immune response-regulating signaling pathway	GO:0002764;GO:0002758;GO:0002757;GO:0002218	2	TRINITY_DN2669_c0_g1	0.152435679291211"
