isogroup gene annotation,
,
TRINITY_DN12416_c0_g1,Protein hu-li tai shao OS=Drosophila melanogaster GN=hts PE=1 SV=2 E(blastx)=2e-06
TRINITY_DN28621_c1_g1,Vacuolar protein sorting-associated protein 4A OS=Rattus norvegicus GN=Vps4a PE=1 SV=1 E(blastx)=6e-25
TRINITY_DN5646_c0_g1,Dopamine beta-hydroxylase OS=Rattus norvegicus GN=Dbh PE=1 SV=1 E(blastx)=1e-06
TRINITY_DN34118_c0_g1,Cilia- and flagella-associated protein 57 OS=Mus musculus GN=Cfap57 PE=1 SV=3 E(blastx)=4e-30
TRINITY_DN27135_c0_g1,Cytochrome P450 2D9 OS=Mus musculus GN=Cyp2d9 PE=1 SV=2 E(blastx)=3e-21
TRINITY_DN10595_c0_g1,Protein disulfide-isomerase A3 OS=Mus musculus GN=Pdia3 PE=1 SV=2 E(blastx)=5e-19
TRINITY_DN27738_c0_g1,Ribosome production factor 2 homolog OS=Bos taurus GN=RPF2 PE=2 SV=1 E(blastx)=5e-14
TRINITY_DN26789_c0_g1,26S proteasome non-ATPase regulatory subunit 2 OS=Rattus norvegicus GN=Psmd2 PE=1 SV=1 E(blastx)=5e-54
TRINITY_DN29702_c0_g1,Ubiquitin-conjugating enzyme E2 R2 OS=Oryctolagus cuniculus GN=UBE2R2 PE=2 SV=1 E(blastx)=5e-36
TRINITY_DN9438_c0_g1,Tubulin polymerization-promoting protein family member 2 OS=Mus musculus GN=Tppp2 PE=2 SV=1 E(blastx)=1e-16
TRINITY_DN40018_c0_g1,Arylsulfatase J OS=Homo sapiens GN=ARSJ PE=2 SV=1 E(blastx)=5e-20
TRINITY_DN32999_c0_g1,Zinc finger protein 395 OS=Xenopus laevis GN=znf395 PE=2 SV=1 E(blastx)=4e-11
TRINITY_DN37823_c0_g1,Na(+)/H(+) exchange regulatory cofactor NHE-RF2 OS=Oryctolagus cuniculus GN=SLC9A3R2 PE=1 SV=1 E(blastx)=1e-30
TRINITY_DN39293_c0_g1,Spermatogenesis-associated protein 5-like protein 1 OS=Homo sapiens GN=SPATA5L1 PE=1 SV=2 E(blastx)=5e-11
TRINITY_DN24131_c0_g1,Chromobox protein homolog 3 OS=Pongo abelii GN=CBX3 PE=2 SV=1 E(blastx)=3e-13
TRINITY_DN5204_c0_g1,"Actin, cytoskeletal 3 (Fragment) OS=Lytechinus pictus PE=3 SV=1 E(blastx)=1e-42"
TRINITY_DN35101_c0_g1,Ran GTPase-activating protein 1 OS=Xenopus laevis GN=rangap1 PE=2 SV=1 E(blastx)=3e-18
TRINITY_DN1840_c0_g1,"Peptidyl-tRNA hydrolase ICT1, mitochondrial OS=Salmo salar GN=mrpl58 PE=2 SV=1 E(blastx)=3e-13"
TRINITY_DN30622_c0_g1,Transmembrane protein 189 OS=Mus musculus GN=Tmem189 PE=1 SV=1 E(blastx)=3e-35
TRINITY_DN19640_c2_g1,"Myosin heavy chain, striated muscle OS=Argopecten irradians PE=1 SV=1 E(blastx)=2e-32"
TRINITY_DN495_c0_g1,Ras-related protein Rab-27A OS=Canis lupus familiaris GN=RAB27A PE=2 SV=1 E(blastx)=1e-11
TRINITY_DN4250_c0_g1,Formin-binding protein 4 OS=Mus musculus GN=Fnbp4 PE=1 SV=2 E(blastx)=6e-05
TRINITY_DN5767_c0_g1,60S ribosomal protein L10a OS=Macaca fascicularis GN=RPL10A PE=2 SV=3 E(blastx)=1e-19
TRINITY_DN18732_c0_g1,Breast cancer metastasis-suppressor 1 homolog OS=Rattus norvegicus GN=Brms1 PE=2 SV=1 E(blastx)=2e-06
TRINITY_DN22042_c0_g1,NADH-ubiquinone oxidoreductase chain 1 OS=Lumbricus terrestris GN=ND1 PE=3 SV=1 E(blastx)=1e-15
TRINITY_DN37021_c0_g1,DnaJ homolog subfamily B member 3 OS=Homo sapiens GN=DNAJB3 PE=1 SV=1 E(blastx)=5e-09
TRINITY_DN38689_c0_g1,Disheveled-associated activator of morphogenesis 2 OS=Mus musculus GN=Daam2 PE=1 SV=4 E(blastx)=8e-22
TRINITY_DN17563_c0_g1,60S ribosomal protein L44 OS=Candida tropicalis GN=RPL44 PE=3 SV=2 E(blastx)=1e-54
TRINITY_DN31714_c0_g1,SWI/SNF complex subunit SMARCC2 OS=Homo sapiens GN=SMARCC2 PE=1 SV=1 E(blastx)=6e-14
TRINITY_DN39260_c0_g1,Rootletin OS=Homo sapiens GN=CROCC PE=1 SV=1 E(blastx)=1e-06
TRINITY_DN39788_c0_g1,"Aspartate aminotransferase, mitochondrial OS=Gallus gallus GN=GOT2 PE=1 SV=2 E(blastx)=2e-57"
TRINITY_DN27858_c0_g1,Rootletin OS=Homo sapiens GN=CROCC PE=1 SV=1 E(blastx)=5e-09
TRINITY_DN36866_c0_g1,Cilia- and flagella-associated protein 100 OS=Mus musculus GN=Cfap100 PE=2 SV=2 E(blastx)=8e-17
TRINITY_DN9549_c0_g1,Collagen alpha-2(I) chain OS=Lithobates catesbeiana GN=COL1A2 PE=2 SV=1 E(blastx)=2e-06
TRINITY_DN5627_c0_g1,Coiled-coil domain-containing protein 96 OS=Macaca fascicularis GN=CCDC96 PE=2 SV=1 E(blastx)=4e-16
TRINITY_DN30061_c0_g1,PHD finger protein 21A OS=Mus musculus GN=Phf21a PE=1 SV=2 E(blastx)=6e-19
TRINITY_DN7541_c0_g1,60S acidic ribosomal protein P2 OS=Branchiostoma floridae PE=3 SV=1 E(blastx)=2e-17
TRINITY_DN36899_c0_g1,Fibroblast growth factor receptor 4 OS=Homo sapiens GN=FGFR4 PE=1 SV=2 E(blastx)=6e-08
TRINITY_DN5812_c0_g1,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform OS=Homo sapiens GN=PPP2R2D PE=2 SV=1 E(blastx)=3e-36
TRINITY_DN30219_c0_g1,Acyl-coenzyme A amino acid N-acyltransferase 2 OS=Rattus norvegicus GN=Acnat2 PE=2 SV=1 E(blastx)=3e-12
TRINITY_DN10066_c0_g1,RRP12-like protein OS=Gallus gallus GN=RRP12 PE=2 SV=1 E(blastx)=4e-11
TRINITY_DN32390_c0_g1,MORN repeat-containing protein 5 OS=Bos taurus GN=MORN5 PE=2 SV=1 E(blastx)=1e-43
TRINITY_DN38568_c0_g1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Mus musculus GN=Rpn1 PE=1 SV=1 E(blastx)=2e-20
TRINITY_DN7208_c0_g1,Centromere protein X OS=Mus musculus GN=Stra13 PE=2 SV=1 E(blastx)=9e-07
TRINITY_DN35868_c0_g1,Centrosomal protein of 131 kDa OS=Mus musculus GN=Cep131 PE=1 SV=2 E(blastx)=2e-18
TRINITY_DN20819_c0_g1,6-pyruvoyl tetrahydrobiopterin synthase OS=Poecilia reticulata GN=pts PE=2 SV=1 E(blastx)=7e-38
TRINITY_DN27650_c0_g1,Vacuolar protein sorting-associated protein 26B-like OS=Danio rerio GN=vps26bl PE=2 SV=1 E(blastx)=8e-09
TRINITY_DN23102_c1_g1,40S ribosomal protein S7 OS=Rattus norvegicus GN=Rps7 PE=1 SV=1 E(blastx)=4e-28
TRINITY_DN16556_c1_g1,Prohibitin-2 OS=Xenopus tropicalis GN=phb2 PE=2 SV=1 E(blastx)=2e-36
TRINITY_DN21005_c0_g1,Protein-lysine N-methyltransferase N6AMT2 OS=Gallus gallus GN=N6AMT2 PE=2 SV=1 E(blastx)=4e-35
TRINITY_DN7694_c0_g1,Serine/arginine repetitive matrix protein 1 OS=Gallus gallus GN=SRRM1 PE=2 SV=1 E(blastx)=6e-23
TRINITY_DN14196_c0_g1,Cilia- and flagella-associated protein 45 OS=Homo sapiens GN=CFAP45 PE=2 SV=2 E(blastx)=1e-42
TRINITY_DN39921_c0_g1,Tetratricopeptide repeat protein 25 OS=Danio rerio GN=ttc25 PE=2 SV=1 E(blastx)=2e-15
TRINITY_DN10095_c0_g1,Activating signal cointegrator 1 OS=Homo sapiens GN=TRIP4 PE=1 SV=4 E(blastx)=3e-05
TRINITY_DN34263_c0_g1,RuvB-like 1 OS=Danio rerio GN=ruvbl1 PE=2 SV=1 E(blastx)=6e-40
TRINITY_DN2689_c0_g1,Non-neuronal cytoplasmic intermediate filament protein B OS=Helix pomatia PE=1 SV=1 E(blastx)=2e-28
TRINITY_DN39905_c0_g1,Rho-associated protein kinase 2 OS=Mus musculus GN=Rock2 PE=1 SV=1 E(blastx)=4e-33
TRINITY_DN25196_c1_g1,Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1 E(blastx)=2e-09
TRINITY_DN4585_c0_g1,Sarcolemmal membrane-associated protein OS=Mus musculus GN=Slmap PE=1 SV=2 E(blastx)=6e-06
TRINITY_DN34420_c0_g1,Probable small nuclear ribonucleoprotein Sm D2 OS=Caenorhabditis elegans GN=snr-4 PE=1 SV=1 E(blastx)=7e-18
TRINITY_DN24713_c0_g1,Alpha-amylase OS=Pseudoalteromonas haloplanktis GN=amy PE=1 SV=3 E(blastx)=2e-09
TRINITY_DN11526_c0_g1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1 OS=Tetraodon nigroviridis GN=dnph1 PE=3 SV=2 E(blastx)=3e-18
