"GO Results for Molecular Function, 1DPM, 7.5 vs 8.0"

"name	term	lev	seq	value"
"lipid binding	GO:0008289	2	TRINITY_DN27223_c0_g1	-0.0338332195654708"
"lipid binding	GO:0008289	2	TRINITY_DN33427_c0_g1	-1.48751468003319"
"lipid binding	GO:0008289	2	TRINITY_DN19266_c0_g1	-0.56169985911716"
"lipid binding	GO:0008289	2	TRINITY_DN19728_c0_g1	-0.332647467109886"
"lipid binding	GO:0008289	2	TRINITY_DN7956_c0_g1	0.334262677775758"
"lipid binding	GO:0008289	2	TRINITY_DN19494_c0_g1	-0.30069033320487"
"lipid binding	GO:0008289	2	TRINITY_DN32877_c0_g1	-0.789192960860778"
"lipid binding	GO:0008289	2	TRINITY_DN7142_c0_g1	0.060012885310133"
"lipid binding	GO:0008289	2	TRINITY_DN21417_c0_g1	1.30287438473326"
"lipid binding	GO:0008289	2	TRINITY_DN30230_c0_g1	-0.834799039589671"
"lipid binding	GO:0008289	2	TRINITY_DN31830_c0_g1	0.273569481723099"
"lipid binding	GO:0008289	2	TRINITY_DN14412_c0_g1	-1.91049297545328"
"lipid binding	GO:0008289	2	TRINITY_DN33425_c0_g1	-0.834297000974251"
"lipid binding	GO:0008289	2	TRINITY_DN37071_c0_g1	-2.20322162167774"
"lipid binding	GO:0008289	2	TRINITY_DN39040_c0_g1	-0.0637895132822376"
"lipid binding	GO:0008289	2	TRINITY_DN18757_c1_g1	1.93134627020607"
"lipid binding	GO:0008289	2	TRINITY_DN31117_c0_g1	0.396541355040368"
"lipid binding	GO:0008289	2	TRINITY_DN25287_c0_g1	0.646107152194999"
"lipid binding	GO:0008289	2	TRINITY_DN39256_c0_g1	-2.99384980767208"
"lipid binding	GO:0008289	2	TRINITY_DN14361_c0_g1	-0.121030032527556"
"lipid binding	GO:0008289	2	TRINITY_DN30337_c0_g1	-0.818269455335006"
"lipid binding	GO:0008289	2	TRINITY_DN31457_c0_g1	0.990246658856723"
"lipid binding	GO:0008289	2	TRINITY_DN19761_c0_g1	1.06884679938197"
"lipid binding	GO:0008289	2	TRINITY_DN3680_c0_g1	-1.50132603947083"
"lipid binding	GO:0008289	2	TRINITY_DN34373_c0_g1	-2.61410638088011"
"lipid binding	GO:0008289	2	TRINITY_DN11539_c0_g1	0.836003069022735"
"lipid binding	GO:0008289	2	TRINITY_DN34207_c0_g1	0.215030479493594"
"lipid binding	GO:0008289	2	TRINITY_DN9673_c0_g1	0.735577353753283"
"lipid binding	GO:0008289	2	TRINITY_DN4439_c0_g1	-0.738020423373673"
"lipid binding	GO:0008289	2	TRINITY_DN9606_c0_g1	0.25634192263491"
"lipid binding	GO:0008289	2	TRINITY_DN32493_c0_g1	-3.22850253905432"
"lipid binding	GO:0008289	2	TRINITY_DN39279_c0_g1	-0.0643646787657403"
"lipid binding	GO:0008289	2	TRINITY_DN9297_c0_g1	-0.175429024074013"
"lipid binding	GO:0008289	2	TRINITY_DN15880_c0_g1	-2.76082938706234"
"endopeptidase regulator activity	GO:0004866;GO:0030414;GO:0061135;GO:0061134	4	TRINITY_DN26880_c0_g1	0.656224167510362"
"endopeptidase regulator activity	GO:0004866;GO:0030414;GO:0061135;GO:0061134	4	TRINITY_DN38962_c0_g1	-0.584722636996415"
"endopeptidase regulator activity	GO:0004866;GO:0030414;GO:0061135;GO:0061134	4	TRINITY_DN20179_c0_g1	1.33007493434364"
"endopeptidase regulator activity	GO:0004866;GO:0030414;GO:0061135;GO:0061134	4	TRINITY_DN34181_c0_g1	0.539611076778033"
"endopeptidase regulator activity	GO:0004866;GO:0030414;GO:0061135;GO:0061134	4	TRINITY_DN26616_c0_g1	-0.603478959018345"
"endopeptidase regulator activity	GO:0004866;GO:0030414;GO:0061135;GO:0061134	4	TRINITY_DN38693_c0_g1	1.96835036532999"
"endopeptidase regulator activity	GO:0004866;GO:0030414;GO:0061135;GO:0061134	4	TRINITY_DN12093_c0_g1	0.686270302871674"
