Day,Treatment,Length,Growth
4,8,604.524955,56.99416375
4,8,571.5793,48.75775
4,8,614.824,59.568925
4,8,581.9718,51.355875
4,7.6,613.48915,59.2352125
4,7.6,568.8239,48.0689
4,7.6,564.821444,47.068286
4,7.6,602.40995,56.4654125
4,7.5,622.7804,61.558025
4,7.5,596.0963,54.887
4,7.5,567.94695,47.8496625
4,7.5,603.63265,56.7710875
8,8,709.49,41.6177125
8,8,797.1782,52.5787375
8,8,725.2669,43.589825
8,8,802.0252,53.1846125
8,7.6,733.84255,44.66178125
8,7.6,721.876,43.1659625
8,7.6,736.7924,45.0305125
8,7.6,695.2336,39.8356625
8,7.5,721.63145,43.13539375
8,7.5,698.9058,40.2946875
8,7.5,747.4093,46.357625
8,7.5,711.2637,41.839425
10,8,772.9411765,39.63928765
10,8,811.3846154,43.48363154
10,8,873.3333333,49.67850333
10,8,852,47.54517
10,7.6,730.8571429,35.43088429
10,7.6,728.5714286,35.20231286
10,7.6,697,32.04517
10,7.6,709.7142857,33.31659857
10,7.5,700.5,32.39517
10,7.5,730.5,35.39517
10,7.5,713.0526316,33.65043316
10,7.5,698.5263158,32.19780158
12,8,852,39.620975
12,8,968,49.28764167
12,8,903.6,43.920975
12,8,927.6923077,45.92866731
12,7.6,833.8333333,38.10708611
12,7.6,762.8571429,32.19240358
12,7.6,781.8461538,33.77482115
12,7.6,718.6153846,28.50559038
12,7.5,621.6,20.420975
12,7.5,666.9,24.195975
12,7.5,770,32.78764167
12,7.5,689.7545455,26.10052046
