"GO Results for Biological Processes, Day 8, 7.5 vs 8.0"

"name	term	lev	seq	value"
"tRNA aminoacylation	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN26847_c0_g1	0.101535911965967"
"tRNA aminoacylation	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN16485_c0_g1	-1.69624384393098"
"tRNA aminoacylation	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN27547_c0_g1	-1.04548171177439"
"tRNA aminoacylation	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN18376_c0_g1	-0.0307728621592244"
"tRNA aminoacylation	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN13500_c0_g1	-0.0972306049119844"
"tRNA aminoacylation	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN251_c0_g1	0.248452462829604"
"tRNA aminoacylation	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN36032_c0_g1	0.176948253014244"
"tRNA aminoacylation	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN4473_c0_g1	-0.0119206889314821"
"tRNA aminoacylation	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN39294_c0_g1	-0.58622810601117"
"tRNA aminoacylation	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN30180_c0_g1	-0.959991350183071"
"tRNA aminoacylation	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN11854_c0_g1	-0.161901875876829"
"tRNA aminoacylation	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN10655_c0_g1	-1.80109977869084"
"tRNA aminoacylation	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN19784_c0_g1	0.423806062265196"
"muscle cell cellular homeostasis	GO:0046716	2	TRINITY_DN34764_c0_g1	-0.407833208659782"
"muscle cell cellular homeostasis	GO:0046716	2	TRINITY_DN13238_c0_g1	1.08331695141825"
"muscle cell cellular homeostasis	GO:0046716	2	TRINITY_DN30848_c0_g1	0.586901497666489"
"muscle cell cellular homeostasis	GO:0046716	2	TRINITY_DN5998_c0_g1	-0.274852142884305"
"muscle cell cellular homeostasis	GO:0046716	2	TRINITY_DN2631_c0_g1	0.415570904995969"
"signal transduction by p53 class mediator	GO:0072331	2	TRINITY_DN9448_c0_g1	-0.206705024211601"
"signal transduction by p53 class mediator	GO:0072331	2	TRINITY_DN25747_c0_g1	0.0118347809212874"
"signal transduction by p53 class mediator	GO:0072331	2	TRINITY_DN33815_c0_g1	-0.0120291367600832"
"signal transduction by p53 class mediator	GO:0072331	2	TRINITY_DN32459_c0_g1	-0.498146703976819"
"signal transduction by p53 class mediator	GO:0072331	2	TRINITY_DN7520_c0_g1	1.06810064642447"
"signal transduction by p53 class mediator	GO:0072331	2	TRINITY_DN26907_c0_g1	-0.35384675188734"
"signal transduction by p53 class mediator	GO:0072331	2	TRINITY_DN14757_c0_g1	0.456246179443472"
"signal transduction by p53 class mediator	GO:0072331	2	TRINITY_DN39885_c0_g1	-0.453950427669764"
"signal transduction by p53 class mediator	GO:0072331	2	TRINITY_DN34155_c0_g1	-0.738221368048522"
"signal transduction by p53 class mediator	GO:0072331	2	TRINITY_DN39840_c0_g1	0.11831772211987"
"developmental cell growth	GO:1990138;GO:0048588	3	TRINITY_DN3116_c0_g1	0.238812919002607"
"developmental cell growth	GO:1990138;GO:0048588	3	TRINITY_DN33004_c0_g1	-0.264280319298254"
"developmental cell growth	GO:1990138;GO:0048588	3	TRINITY_DN18050_c0_g1	-0.203173230175622"
"developmental cell growth	GO:1990138;GO:0048588	3	TRINITY_DN33044_c0_g1	-0.416498301823877"
"developmental cell growth	GO:1990138;GO:0048588	3	TRINITY_DN32527_c0_g1	-0.714696207187171"
"developmental cell growth	GO:1990138;GO:0048588	3	TRINITY_DN7409_c0_g1	0.134514182939805"
"developmental cell growth	GO:1990138;GO:0048588	3	TRINITY_DN32373_c0_g1	0.202210272519861"
"developmental cell growth	GO:1990138;GO:0048588	3	TRINITY_DN32397_c0_g1	0.449497257067544"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN12416_c0_g1	0.144296339153739"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN36866_c0_g1	-0.428404969342535"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN36899_c0_g1	0.29729937803533"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN35868_c0_g1	0.167821813124718"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN39787_c0_g1	-0.0400862360738978"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN37536_c0_g1	-0.153933307177144"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN35348_c0_g1	0.353492151945501"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN25052_c0_g1	0.183176273042482"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN33000_c0_g1	-0.168698256536037"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN39747_c0_g1	-0.23510243429219"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN2852_c0_g1	0.205481208596885"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN37510_c0_g1	-0.0981236907281165"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN34796_c0_g1	-1.20564159565214"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN6938_c0_g1	0.221304658388471"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN37164_c0_g1	0.00771605071735349"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN24982_c0_g1	-0.0774664432540884"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN18050_c0_g1	-0.203173230175622"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN3817_c0_g1	-0.179738396005334"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN17519_c0_g1	0.142494904723831"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN36071_c0_g1	0.187656209130374"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN33655_c0_g1	-0.381145092025306"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN35461_c0_g1	-0.656926610049023"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN6854_c0_g1	-0.307142431567292"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN39436_c0_g1	-0.495545777925782"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN30277_c0_g1	0.450647331521307"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN34807_c0_g1	-0.420654468354915"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN29913_c0_g1	-0.432878169953715"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN4406_c0_g1	-0.366407092588674"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN28776_c0_g1	-0.913108699144223"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN36549_c0_g1	-0.792647828946028"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN7173_c0_g1	-0.495150366352898"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN37112_c0_g1	0.90046683620905"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN39031_c0_g1	0.047630350240023"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN31533_c0_g1	-0.268655489712238"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN291_c0_g1	-0.648420375281566"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN29952_c0_g1	2.41535062584072"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN20297_c0_g1	1.13446233282254"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN26854_c0_g1	-0.397101578922429"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN22302_c0_g1	-0.113862740215418"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN37077_c0_g1	-1.3997197526923"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN36676_c0_g1	0.00840128482990289"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN21814_c0_g1	1.89985329330099"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN39209_c0_g1	1.8784534121031"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN36180_c0_g1	-0.98057209120172"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN30383_c0_g1	0.741206917421278"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN28287_c0_g1	-0.639633230407664"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN29213_c0_g1	-0.0606908403964141"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN31839_c0_g1	-0.723386565653537"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN7033_c0_g1	-0.736379378433238"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN13788_c0_g1	0.0758387752371781"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN36372_c0_g1	0.343185738332369"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN22744_c0_g1	-0.599633723751896"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN948_c0_g1	-0.128497080370475"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN36326_c0_g1	-0.278757819726651"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN13313_c0_g1	-0.736277131630214"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN28582_c0_g1	0.0122212615393759"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN37256_c0_g1	-1.18440286951262"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN38298_c0_g1	0.227593234525209"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN36534_c0_g1	-0.498299645310908"
"movement of cell or subcellular component	GO:0006928	2	TRINITY_DN23026_c0_g1	-1.74777907052335"
