"GO Results for Cellular Component, 4DPM, 7.5 vs 8.0"

"name	term	lev	seq	value"
"ruffle	GO:0001726	4	TRINITY_DN6938_c0_g1	-0.0647676311153795"
"ruffle	GO:0001726	4	TRINITY_DN29213_c0_g1	0.669715693274084"
"ruffle	GO:0001726	4	TRINITY_DN5056_c0_g1	0.0254879174041856"
"ruffle	GO:0001726	4	TRINITY_DN29465_c0_g1	-1.10379056573238"
"ruffle	GO:0001726	4	TRINITY_DN7520_c0_g1	-0.1303066295042"
"ruffle	GO:0001726	4	TRINITY_DN31927_c0_g1	1.15541572761923"
"ruffle	GO:0001726	4	TRINITY_DN38130_c0_g1	0.75891800680935"
"ruffle	GO:0001726	4	TRINITY_DN16636_c0_g1	-2.70924891708747"
"ruffle	GO:0001726	4	TRINITY_DN28614_c0_g1	0.10845974136399"
"ruffle	GO:0001726	4	TRINITY_DN29461_c0_g1	0.495488830499268"
"ruffle	GO:0001726	4	TRINITY_DN26834_c0_g1	1.52206880562812"
"ruffle	GO:0001726	4	TRINITY_DN24091_c0_g1	0.131219961577147"
"endomembrane system	GO:0012505	2	TRINITY_DN37823_c0_g1	1.33808780016138"
"endomembrane system	GO:0012505	2	TRINITY_DN25520_c1_g1	-0.398470216872182"
"endomembrane system	GO:0012505	2	TRINITY_DN33438_c0_g1	-0.0208268866428701"
"endomembrane system	GO:0012505	2	TRINITY_DN7142_c0_g1	0.586311720001376"
"endomembrane system	GO:0012505	2	TRINITY_DN25520_c0_g1	-0.636669001427279"
"endomembrane system	GO:0012505	2	TRINITY_DN29018_c0_g1	-4.90412094295187"
"endomembrane system	GO:0012505	2	TRINITY_DN9385_c0_g1	0.550707706495717"
"endomembrane system	GO:0012505	2	TRINITY_DN26955_c0_g1	-0.37004110354921"
"endomembrane system	GO:0012505	2	TRINITY_DN20078_c0_g1	2.41993152571986"
"endomembrane system	GO:0012505	2	TRINITY_DN33061_c0_g1	0.461568762056257"
"endomembrane system	GO:0012505	2	TRINITY_DN11166_c0_g1	0.415518886377464"
"endomembrane system	GO:0012505	2	TRINITY_DN986_c0_g1	0.35624547899232"
"endomembrane system	GO:0012505	2	TRINITY_DN8419_c0_g1	-0.97960960653784"
"endomembrane system	GO:0012505	2	TRINITY_DN34207_c0_g1	-0.0311005229407048"
"endomembrane system	GO:0012505	2	TRINITY_DN39530_c0_g1	-0.0556214740105154"
"M band	GO:0031430	2	TRINITY_DN4585_c0_g1	0.14331512246193"
"M band	GO:0031430	2	TRINITY_DN32590_c0_g1	-1.19746058594211"
"M band	GO:0031430	2	TRINITY_DN35745_c0_g1	0.324457655772702"
"M band	GO:0031430	2	TRINITY_DN4234_c0_g1	2.53641046917031"
"M band	GO:0031430	2	TRINITY_DN36806_c0_g1	-0.759020365112692"
"M band	GO:0031430	2	TRINITY_DN35753_c0_g1	-2.61210807326691"
"M band	GO:0031430	2	TRINITY_DN14292_c1_g1	-0.794871401651343"
"M band	GO:0031430	2	TRINITY_DN2263_c0_g1	-1.27649418960523"
"M band	GO:0031430	2	TRINITY_DN35114_c0_g1	0.645707174214793"
"M band	GO:0031430	2	TRINITY_DN5998_c0_g1	1.03654426215548"
"M band	GO:0031430	2	TRINITY_DN34207_c0_g1	-0.0311005229407048"
"M band	GO:0031430	2	TRINITY_DN35937_c0_g1	0.721714746118763"
"respiratory chain complex IV	GO:0045277	3	TRINITY_DN11955_c0_g1	-0.0923707017715259"
"respiratory chain complex IV	GO:0045277	3	TRINITY_DN25624_c0_g1	0.553541873080056"
"respiratory chain complex IV	GO:0045277	3	TRINITY_DN34480_c0_g1	1.43879146592834"
"respiratory chain complex IV	GO:0045277	3	TRINITY_DN629_c0_g1	-0.793599906031647"
"respiratory chain complex IV	GO:0045277	3	TRINITY_DN2627_c1_g1	-1.7263913067556"
"respiratory chain complex IV	GO:0045277	3	TRINITY_DN28611_c0_g1	-0.115203318386344"
"respiratory chain complex IV	GO:0045277	3	TRINITY_DN8150_c0_g1	0.101131510113222"
"respiratory chain complex IV	GO:0045277	3	TRINITY_DN37780_c0_g1	0.0953990855275084"
"respiratory chain complex IV	GO:0045277	3	TRINITY_DN167_c0_g1	-0.196060353673268"
"DNA packaging complex	GO:0000786;GO:0044815	4	TRINITY_DN29172_c0_g1	1.06860926542028"
"DNA packaging complex	GO:0000786;GO:0044815	4	TRINITY_DN32920_c0_g1	0.654999374536158"
"DNA packaging complex	GO:0000786;GO:0044815	4	TRINITY_DN26627_c0_g1	1.95983783075068"
"DNA packaging complex	GO:0000786;GO:0044815	4	TRINITY_DN9153_c0_g1	0.705966510567914"
"DNA packaging complex	GO:0000786;GO:0044815	4	TRINITY_DN18204_c0_g1	0.677476255287265"
"DNA packaging complex	GO:0000786;GO:0044815	4	TRINITY_DN28873_c0_g1	-2.53220957246874"
"DNA packaging complex	GO:0000786;GO:0044815	4	TRINITY_DN7504_c0_g1	2.84002212503934"
