"GO Results for Molecular Function, 1DPM, 7.6 vs 8.0"

"name	term	lev	seq	value"
"P-body	GO:0000932	4	TRINITY_DN4266_c0_g1	-0.58609851766586"
"P-body	GO:0000932	4	TRINITY_DN33334_c0_g1	2.64970778302669"
"P-body	GO:0000932	4	TRINITY_DN36379_c0_g1	0.807499300811021"
"P-body	GO:0000932	4	TRINITY_DN14135_c0_g1	-0.159423836496339"
"P-body	GO:0000932	4	TRINITY_DN31210_c0_g1	-0.0266030620672324"
"P-body	GO:0000932	4	TRINITY_DN33378_c0_g1	-0.289154786201158"
"CHD-type complex	GO:0016581;GO:0090545	6	TRINITY_DN11736_c0_g1	1.26736726021053"
"CHD-type complex	GO:0016581;GO:0090545	6	TRINITY_DN33402_c0_g1	-0.279993115339171"
"CHD-type complex	GO:0016581;GO:0090545	6	TRINITY_DN15301_c0_g1	0.309848101634799"
"CHD-type complex	GO:0016581;GO:0090545	6	TRINITY_DN7112_c1_g1	0.33624691007177"
"CHD-type complex	GO:0016581;GO:0090545	6	TRINITY_DN23964_c0_g1	0.179849959953608"
"condensed nuclear chromosome	GO:0000794	4	TRINITY_DN2279_c0_g1	-4.15969973232325"
"condensed nuclear chromosome	GO:0000794	4	TRINITY_DN28811_c0_g1	1.59974569202865"
"condensed nuclear chromosome	GO:0000794	4	TRINITY_DN35753_c0_g1	-0.690262440763255"
"condensed nuclear chromosome	GO:0000794	4	TRINITY_DN7777_c0_g1	0.688055917247949"
"condensed nuclear chromosome	GO:0000794	4	TRINITY_DN38038_c0_g1	0.874821983687429"
"condensed nuclear chromosome	GO:0000794	4	TRINITY_DN9487_c0_g1	-4.64105178416618"
"condensed nuclear chromosome	GO:0000794	4	TRINITY_DN31779_c0_g1	0.335509146135361"
"clathrin-coated pit	GO:0005905	2	TRINITY_DN25709_c0_g1	-1.47689717817659"
"clathrin-coated pit	GO:0005905	2	TRINITY_DN32105_c0_g1	-0.314630516976306"
"clathrin-coated pit	GO:0005905	2	TRINITY_DN29213_c0_g1	2.19302186446463"
"clathrin-coated pit	GO:0005905	2	TRINITY_DN18215_c0_g1	-0.322276766458625"
"clathrin-coated pit	GO:0005905	2	TRINITY_DN7520_c0_g1	0.504912609358282"
"clathrin-coated pit	GO:0005905	2	TRINITY_DN25146_c0_g1	-1.74363343133236"
"clathrin-coated pit	GO:0005905	2	TRINITY_DN10558_c0_g1	1.21645031984933"
"clathrin-coated pit	GO:0005905	2	TRINITY_DN39040_c0_g1	0.562560493459327"
"clathrin-coated pit	GO:0005905	2	TRINITY_DN39256_c0_g1	-0.28649207408354"
"clathrin-coated pit	GO:0005905	2	TRINITY_DN14361_c0_g1	0.328837736226989"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN495_c0_g1	0.301110254040856"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN25052_c0_g1	-2.22597934437316"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN3116_c0_g1	5.99382207192787"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN16871_c0_g1	0.0457896945480446"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN10931_c0_g1	-0.24763767771412"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN26630_c0_g1	0.18709558127334"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN18050_c0_g1	-0.149009816419824"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN35461_c0_g1	-1.26582413394199"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN24297_c0_g1	-1.20604367238842"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN26854_c0_g1	-0.602714860959467"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN2581_c0_g1	1.64913005417646"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN2279_c0_g1	-4.15969973232325"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN29213_c0_g1	2.19302186446463"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN7033_c0_g1	-1.32591515757881"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN13788_c0_g1	-1.14634496461554"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN23026_c0_g1	-4.15172936546788"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN38536_c0_g1	-0.866730705714159"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN18215_c0_g1	-0.322276766458625"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN5056_c0_g1	0.183783187131247"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN18052_c0_g1	1.03741617036956"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN17686_c0_g1	-4.75530878805868"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN7673_c0_g1	-0.929904141836402"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN14651_c0_g1	0.330633200273785"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN36708_c0_g1	-0.162632840956265"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN7520_c0_g1	0.504912609358282"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN25146_c0_g1	-1.74363343133236"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN39174_c0_g1	-2.36430605195086"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN20834_c0_g1	-0.810825378310361"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN19222_c0_g1	0.141771026696257"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN13385_c0_g1	-3.96073631529142"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN38090_c0_g1	-2.25336392693328"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN29392_c0_g1	0.559811907813708"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN20290_c0_g1	-0.915807661930118"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN34768_c0_g1	-1.39100983691649"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN17292_c0_g1	0.407272322274275"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN31500_c0_g1	-0.420285916819964"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN32356_c0_g1	-0.741830421301129"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN29457_c0_g1	-0.291125155936353"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN14457_c0_g1	1.95497294249002"
"plasma membrane bounded cell projection part	GO:0120038;GO:0044463	2	TRINITY_DN7452_c0_g1	-0.0222738228644645"
