"GO Results for Molecular Function, Day 8, 7.6 vs 8.0"

"name	term	lev	seq	value"
"protein kinase A regulatory subunit binding	GO:0034237	3	TRINITY_DN31129_c0_g1	-1.00286837632865"
"protein kinase A regulatory subunit binding	GO:0034237	3	TRINITY_DN26630_c0_g1	0.323607636736369"
"protein kinase A regulatory subunit binding	GO:0034237	3	TRINITY_DN11163_c0_g1	0.502052874477223"
"protein kinase A regulatory subunit binding	GO:0034237	3	TRINITY_DN35442_c0_g1	1.08868936271748"
"protein kinase A regulatory subunit binding	GO:0034237	3	TRINITY_DN26461_c0_g1	0.110056065658342"
"protein kinase A regulatory subunit binding	GO:0034237	3	TRINITY_DN362_c0_g1	-0.367468796974915"
"ion transmembrane transporter activity	GO:0022890;GO:0008324;GO:0015318;GO:0015075	3	TRINITY_DN11955_c0_g1	0.507631099201079"
"ion transmembrane transporter activity	GO:0022890;GO:0008324;GO:0015318;GO:0015075	3	TRINITY_DN25624_c0_g1	-0.442909498561"
"ion transmembrane transporter activity	GO:0022890;GO:0008324;GO:0015318;GO:0015075	3	TRINITY_DN37279_c0_g1	-0.27760168025151"
"ion transmembrane transporter activity	GO:0022890;GO:0008324;GO:0015318;GO:0015075	3	TRINITY_DN38700_c0_g1	0.213541475698441"
"ion transmembrane transporter activity	GO:0022890;GO:0008324;GO:0015318;GO:0015075	3	TRINITY_DN25755_c0_g1	-3.26001478324044"
"ion transmembrane transporter activity	GO:0022890;GO:0008324;GO:0015318;GO:0015075	3	TRINITY_DN30576_c0_g1	-0.157942232444499"
"ion transmembrane transporter activity	GO:0022890;GO:0008324;GO:0015318;GO:0015075	3	TRINITY_DN34480_c0_g1	0.560759837282007"
"ion transmembrane transporter activity	GO:0022890;GO:0008324;GO:0015318;GO:0015075	3	TRINITY_DN5810_c0_g1	0.0956982503663527"
"ion transmembrane transporter activity	GO:0022890;GO:0008324;GO:0015318;GO:0015075	3	TRINITY_DN2367_c0_g1	0.0967007286402023"
"ion transmembrane transporter activity	GO:0022890;GO:0008324;GO:0015318;GO:0015075	3	TRINITY_DN34750_c0_g1	-1.10370041031917"
"ion transmembrane transporter activity	GO:0022890;GO:0008324;GO:0015318;GO:0015075	3	TRINITY_DN32939_c0_g1	0.240883649434953"
"ion transmembrane transporter activity	GO:0022890;GO:0008324;GO:0015318;GO:0015075	3	TRINITY_DN629_c0_g1	-0.622352350824032"
"ion transmembrane transporter activity	GO:0022890;GO:0008324;GO:0015318;GO:0015075	3	TRINITY_DN2627_c1_g1	-0.0141400993070465"
"ion transmembrane transporter activity	GO:0022890;GO:0008324;GO:0015318;GO:0015075	3	TRINITY_DN21717_c1_g1	0.0626738007866608"
