Day,Treatment,Tissue,Shell
4,8,0.375,0.625
4,8,0.3333,0.6667
4,8,0.2388,0.7612
4,8,0.3333,0.6667
4,7.6,0.2566,0.7434
4,7.6,0.4762,0.5238
4,7.6,0.25984252,0.7402
4,7.6,0.3025,0.6975
4,7.5,0.260869565,0.739130435
4,7.5,0.267605634,0.732394366
4,7.5,0.268518519,0.731481481
4,7.5,0.32,0.68
8,8,0.545454545,0.454545455
8,8,0.359375,0.640625
8,8,0.425925926,0.574074074
8,7.6,0.293103448,0.706896552
8,7.6,0.317757009,0.682242991
8,7.6,0.297619048,0.702380952
8,7.5,0.330188679,0.669811321
8,7.5,0.324561404,0.675438596
8,7.5,0.323741007,0.676258993
8,7.5,0.365079365,0.365079365
