isogroup gene ontology,
,
TRINITY_DN12416_c0_g1,GO:0005737;GO:0005856;GO:0035183;GO:0045169;GO:0045172;GO:0016328;GO:0005811;GO:0005886;GO:0045170;GO:0061572;GO:0007527;GO:0007411;GO:0051297;GO:0007282;GO:0048135;GO:0008302;GO:0045478;GO:0048134;GO:0007294;GO:0031987;GO:0000212;GO:0070050;GO:0048477;GO:0030723;GO:0072499;GO:0045214;GO:0030724
TRINITY_DN28621_c1_g1,GO:0005769;GO:0031902;GO:0030496;GO:0005634;GO:0005524;GO:0016887;GO:0017048;GO:0009838;GO:0007049;GO:0051301;GO:0016197;GO:0032466;GO:1903774;GO:0015031;GO:0007033
TRINITY_DN5646_c0_g1,GO:0045177;GO:0030424;GO:0034466;GO:0042584;GO:0005737;GO:0031410;GO:0030425;GO:0005615;GO:0016021;GO:0043025;GO:0034774;GO:0030667;GO:0045202;GO:0043195;GO:0030658;GO:0043196;GO:0005507;GO:0004500;GO:0031418;GO:0060348;GO:0006584;GO:0071287;GO:0071316;GO:0042420;GO:0042593;GO:0010259;GO:0042421;GO:0006589;GO:0046333;GO:0046688;GO:0042493;GO:0032355;GO:0045471;GO:0035902;GO:0010039;GO:0035900;GO:0014070;GO:0010193;GO:0043434;GO:0050909;GO:0035176
TRINITY_DN34118_c0_g1,
TRINITY_DN27135_c0_g1,GO:0005789;GO:0031090;GO:0008392;GO:0070330;GO:0020037;GO:0005506;GO:0008395;GO:0019369
TRINITY_DN10595_c0_g1,GO:0009986;GO:0005783;GO:0005788;GO:0070062;GO:0005925;GO:0042470;GO:0043209;GO:0005634;GO:0044822;GO:0003756;GO:0002474;GO:0045454;GO:2001238;GO:0006457;GO:0034976
TRINITY_DN27738_c0_g1,GO:0005730;GO:0019843;GO:0000463;GO:0000027
TRINITY_DN26789_c0_g1,GO:0070062;GO:0016020;GO:0005634;GO:0022624;GO:0008540;GO:0034515;GO:0030234;GO:0043161;GO:0042176
TRINITY_DN29702_c0_g1,GO:0005524;GO:0004842;GO:0070936;GO:0006513
TRINITY_DN9438_c0_g1,GO:0005737
TRINITY_DN40018_c0_g1,GO:0005788;GO:0005576;GO:0004065;GO:0046872;GO:0006687;GO:0043687
TRINITY_DN32999_c0_g1,GO:0005737;GO:0005634;GO:0003677;GO:0046872;GO:0006355;GO:0006351
TRINITY_DN37823_c0_g1,GO:0016324;GO:0012505;GO:0005634;GO:0008022
TRINITY_DN39293_c0_g1,GO:0005737;GO:0005524
TRINITY_DN24131_c0_g1,GO:0000785;GO:0000779;GO:0000784;GO:0005635;GO:0005719;GO:0005720;GO:0031618;GO:0005819;GO:0019904;GO:0016569;GO:0045892;GO:0048511;GO:0006351
TRINITY_DN5204_c0_g1,GO:0005737;GO:0005856;GO:0005524
TRINITY_DN35101_c0_g1,GO:0005737;GO:0005096;GO:0007165
TRINITY_DN1840_c0_g1,GO:0005762;GO:0005739;GO:0004045;GO:0016150;GO:0070126
TRINITY_DN30622_c0_g1,GO:0005737;GO:0005789;GO:0016021;GO:0061630;GO:0031625
TRINITY_DN19640_c2_g1,GO:0030016;GO:0032982;GO:0005524;GO:0003774
TRINITY_DN495_c0_g1,GO:0030425;GO:0070382;GO:0070062;GO:0005794;GO:0005764;GO:0042470;GO:0032585;GO:0001750;GO:0030141;GO:0019003;GO:0005525;GO:0003924;GO:0019882;GO:0007596;GO:0097278;GO:0043316;GO:1990182;GO:0030318;GO:0032402;GO:0036257;GO:0071985;GO:0043320;GO:1903435;GO:0045921;GO:0010628;GO:0050766;GO:1903428;GO:1903307;GO:0006605;GO:0007264
TRINITY_DN4250_c0_g1,GO:0005654
TRINITY_DN5767_c0_g1,GO:0015934;GO:0003723;GO:0003735;GO:0006412
TRINITY_DN18732_c0_g1,GO:0005737;GO:0005634;GO:0070822;GO:0042826;GO:0006915;GO:0016575;GO:0032088;GO:0000122;GO:0045892;GO:2000210;GO:0090312;GO:0006351
TRINITY_DN22042_c0_g1,GO:0016021;GO:0005743;GO:0070469;GO:0008137
TRINITY_DN37021_c0_g1,GO:0070062
TRINITY_DN38689_c0_g1,GO:0070062;GO:0030036;GO:0007368
TRINITY_DN17563_c0_g1,GO:0005840;GO:0003735;GO:0046677;GO:0046898;GO:0006412
TRINITY_DN31714_c0_g1,GO:0071565;GO:0071564;GO:0000790;GO:0005654;GO:0043234;GO:0016514;GO:0003682;GO:0003677;GO:0003713;GO:0043044;GO:0006338;GO:0016569;GO:0000122;GO:0045892;GO:0006337;GO:0045893;GO:0006357;GO:0021882;GO:0006351
TRINITY_DN39260_c0_g1,GO:0015629;GO:0005814;GO:0005813;GO:0035253;GO:0005737;GO:0070062;GO:0001917;GO:0005886;GO:0019894;GO:0005198;GO:0007049;GO:0010457;GO:0051297;GO:0032053;GO:0010669;GO:0051656;GO:0045494;GO:0045724;GO:1903566;GO:0008104;GO:0033365
TRINITY_DN39788_c0_g1,GO:0005759;GO:0005739;GO:0016212;GO:0004069;GO:0080130;GO:0042803;GO:0030170;GO:0006103;GO:0006533;GO:0006531;GO:0006520;GO:0006094;GO:0006536
TRINITY_DN27858_c0_g1,GO:0015629;GO:0005814;GO:0005813;GO:0035253;GO:0005737;GO:0070062;GO:0001917;GO:0005886;GO:0019894;GO:0005198;GO:0007049;GO:0010457;GO:0051297;GO:0032053;GO:0010669;GO:0051656;GO:0045494;GO:0045724;GO:1903566;GO:0008104;GO:0033365
TRINITY_DN36866_c0_g1,GO:0097545;GO:0005737;GO:0031514;GO:0070840;GO:0003341;GO:0036159;GO:2000574
TRINITY_DN9549_c0_g1,GO:0005581;GO:0005578;GO:0005201;GO:0046872
TRINITY_DN5627_c0_g1,GO:0005737;GO:0005815
TRINITY_DN30061_c0_g1,GO:1990391;GO:0000118;GO:0005634;GO:0003682;GO:0042393;GO:0000977;GO:0003712;GO:0008270;GO:0016569;GO:0000122;GO:0001967;GO:0006351
TRINITY_DN7541_c0_g1,GO:0005840;GO:0003735;GO:0006414
TRINITY_DN36899_c0_g1,GO:0005737;GO:0005783;GO:0005768;GO:0005576;GO:0005794;GO:0005887;GO:0005654;GO:0005886;GO:0030133;GO:0016303;GO:0005524;GO:0017134;GO:0005007;GO:0008201;GO:0046934;GO:0004713;GO:0005088;GO:0016477;GO:0008543;GO:0042593;GO:0000165;GO:0018108;GO:0055062;GO:0048015;GO:0043085;GO:0008284;GO:2000573;GO:0070374;GO:0010628;GO:0045862;GO:0046777;GO:0070857;GO:2000188;GO:0010715;GO:0019216;GO:0014066
TRINITY_DN5812_c0_g1,GO:0005829;GO:0000159;GO:0019888;GO:0051301;GO:0032502;GO:0010458;GO:0000278;GO:0007067;GO:0070262
TRINITY_DN30219_c0_g1,GO:0005777;GO:0047617;GO:0016410;GO:0006637;GO:0006631
TRINITY_DN10066_c0_g1,GO:0016021;GO:0031965;GO:0005730
TRINITY_DN32390_c0_g1,
TRINITY_DN38568_c0_g1,GO:0005789;GO:0031012;GO:0016021;GO:0042470;GO:0016020;GO:0008250;GO:0005791;GO:0004579;GO:0044822;GO:0018279
TRINITY_DN7208_c0_g1,GO:0000777;GO:0071821;GO:0043240;GO:0003677;GO:0003690;GO:0051301;GO:0006281;GO:0051382;GO:0007067;GO:0031297;GO:0000712
TRINITY_DN35868_c0_g1,GO:0001669;GO:0034451;GO:0005813;GO:0035869;GO:0045171;GO:0043231;GO:0002177;GO:0015630;GO:0005815;GO:0031965;GO:0005634;GO:0032403;GO:0042803;GO:0007049;GO:0060271;GO:0042073;GO:0035735;GO:1990953;GO:1905198;GO:0007275;GO:1905515;GO:0008284;GO:0090316;GO:0071539;GO:0010824;GO:0007288;GO:0007286;GO:0007283
TRINITY_DN20819_c0_g1,GO:0003874;GO:0046872;GO:0006729
TRINITY_DN33428_c0_g1,
TRINITY_DN27650_c0_g1,GO:0005829;GO:0005768;GO:0030904;GO:0008565;GO:0006886;GO:0042147
TRINITY_DN23102_c1_g1,GO:0030686;GO:0022627;GO:0005815;GO:0032040;GO:0008266;GO:0003735;GO:0042274;GO:0006364;GO:0006412
TRINITY_DN16556_c1_g1,GO:0005743;GO:0016363;GO:0006355;GO:0006351
TRINITY_DN21005_c0_g1,GO:0005737;GO:0070062;GO:0008168;GO:0003676
TRINITY_DN7694_c0_g1,GO:0005634;GO:0006397;GO:0008380
TRINITY_DN14196_c0_g1,GO:0005929;GO:0005654;GO:0005634
TRINITY_DN39921_c0_g1,GO:0042995;GO:0005737;GO:0005856;GO:0060271;GO:0061371;GO:0032474
TRINITY_DN10095_c0_g1,GO:0099053;GO:0005737;GO:0005829;GO:0005815;GO:0031594;GO:0005654;GO:0005634;GO:0030331;GO:0035035;GO:0016922;GO:0002020;GO:0003713;GO:0044389;GO:0008270;GO:0030520;GO:0045893;GO:0045661;GO:0006355;GO:1901998;GO:0006351
TRINITY_DN34263_c0_g1,GO:0031011;GO:0071339;GO:0035267;GO:0097255;GO:0000812;GO:0005524;GO:0043141;GO:0004003;GO:0000492;GO:0006338;GO:0006310;GO:0006281;GO:0007507;GO:0016573;GO:0045893;GO:0060420;GO:0006357;GO:0006351
TRINITY_DN2689_c0_g1,GO:0005737;GO:0005882;GO:0005198
